news,date
"비트코인(Bitcoin, BTC) 가격이 11만 달러 아래로 급락하며 단 한 시간 만에 2억 5,000만 달러 규모의 청산이 발생했다. 트럼프 미국 대통령이 중국에 대한 고율 관세 부과를 경고하면서 암호화폐 시장 전반에 매도세가 확산됐다.10월 10일(현지시간) 암호화폐 전문매체 크립토포테이토에 따르면, 트럼프 대통령은 중국이 “매우 적대적”이라며 “중국산 제품에 대한 대규모 관세 인상”을 위협했다. 이 발언 직후 비트코인은 급격히 무너져 바이낸스(Binance)에서 10만 9,000달러까지 떨어졌으며, 이는 하루 전 기록한 사상 최고치 수준에서 1만 달러 이상 하락한 수치다.트럼프 대통령의 강경 발언은 단기간에 시장 전반에 충격을 줬다. 이더리움(Ethereum, ETH)은 3,500달러 아래로, 솔라나(Solana, SOL)는 150달러 아래로 급락했다. 제트캐시(ZEC), 마인네트워크(MNT), 타오(TAO), 밈코어(M), 펌프(PUMP), 라이트코인(LTC), 봉크(BONK), 펏지펭귄(PENGU) 등 주요 알트코인도 불과 몇 시간 만에 두 자릿수 하락률을 기록했다.급락 직후 청산 규모는 단 한 시간 만에 2억 5,000만 달러를 돌파했으며, 하루 기준 청산액은 6억 달러에 근접했다. 15만 5,000명 이상의 트레이더가 포지션을 잃은 것으로 집계됐다. 이후 업데이트된 자료에 따르면 UTC 기준 21시 30분 경 청산 규모는 10억 달러를 넘어섰다.이번 폭락은 단순한 가격 변동을 넘어 시장의 레버리지 구조를 강타했다. 고위험 포지션이 대거 청산되면서 유동성이 빠르게 축소됐고, 전반적인 투자 심리 역시 급속히 냉각됐다. 전문가들은 트럼프의 관세 압박이 단기 충격을 넘어 중기적 불확실성을 키울 수 있다고 경고했다.암호화폐 시장은 최근 몇 주 동안 강한 상승세를 보였으나, 이번 무역 갈등 격화 신호에 민감하게 반응하고 있다. 투자자들은 변동성 확대에 대비한 방어적 전략이 필요하다는 분석이 나온다.*면책 조항: 이 기사는 투자 참고용으로 이를 근거로 한 투자 손실에 대해 책임을 지지 않습니다. 해당 내용은 정보 제공의 목적으로만 해석되어야 합니다.*",2025.10.11
"비트코인(Bitcoin, BTC) 가격이 10만 2,000달러까지 폭락하며 3개월 만에 최저치를 기록했다. 도널드 트럼프 미국 대통령이 중국에 100% 관세를 부과하겠다고 발표하자 암호화폐 시장 전반에 대규모 매도세가 확산됐다.10월 10일(현지시간) 암호화폐 전문매체 코인텔레그래프에 따르면, 트럼프 대통령의 관세 부과 발표 직후 바이낸스(Binance) BTC/USDT 무기한 선물 가격은 10만 2,000달러까지 급락했다. 이는 지난 6월 말 이후 처음으로 기록한 저점이다. 코인베이스(Coinbase) 현물 가격은 장중 10만 7,000달러까지 떨어졌다.이번 조치는 중국이 희토류 수출 통제 방침을 강화하겠다고 발표한 데 대한 대응이다. 트럼프 대통령은 트루스소셜(Truth Social)에서 “중국이 11월 1일부터 사실상 모든 제품에 대해 대규모 수출 통제를 가할 것이라는 적대적 메시지를 보냈다”며 “이에 맞서 100% 관세를 부과하겠다”고 밝혔다. 희토류는 반도체, AI, 고성능 컴퓨팅 및 암호화폐 채굴 장비 생산에 필수적인 핵심 자원이다.암호화폐 시장은 트럼프의 발언 직후 급격히 흔들렸다. 이더리움(Ethereum, ETH)은 3,500달러까지, 솔라나(Solana, SOL)는 선물 가격이 140달러 아래로 내려앉았다. 하이블록 캐피털(Hyblock Capital)은 “대다수 알트코인 시장의 2배 레버리지 포지션이 완전히 청산됐다”고 분석했다.코인글래스(Coinglass)에 따르면 지난 24시간 동안 총 94억 달러 규모의 암호화폐 포지션이 청산됐으며, 이 중 71억 5,000만 달러가 롱 포지션이었다. 이는 올해 들어 가장 큰 규모의 청산 중 하나로 꼽힌다.이번 관세 조치는 글로벌 반도체 공급망과 AI·채굴 인프라에 부담을 주면서 투자자들의 위험회피 심리를 자극했다. 이날 전 세계 암호화폐 시가총액은 3조 6,400억 달러로, 24시간 사이 11.8% 감소했다. 시장 전문가들은 단기 충격파가 이어질 가능성이 높다고 경고하고 있다.*면책 조항: 이 기사는 투자 참고용으로 이를 근거로 한 투자 손실에 대해 책임을 지지 않습니다. 해당 내용은 정보 제공의 목적으로만 해석되어야 합니다.*",2025.10.11
"'부자 아빠 가난한 아빠'의 저자 로버트 기요사키(Robert Kiyosaki)가 이더리움(Ethereum, ETH)의 강세 전망을 다시 한번 강조했다.10월 10일(현지시간) 암호화폐 전문 매체 유투데이에 따르면, 기요사키는 소셜 미디어 엑스(X)를 통해 자신이 선호하는 두 가지 투자 자산인 은과 이더리움의 꾸준한 가격 상승을 언급했다. 그는 은 가격이 온스당 50달러를 돌파했으며 75달러까지 상승할 수 있다고 전망하면서 ""은과 이더리움이 뜨겁다""고 밝혔다. 기요사키는 지난 7일간 장기 투자를 고려하는 사람들에게 이더리움, 비트코인(Bitcoin, BTC), 은, 금에 집중할 것을 강조해 왔다. 그는 미국 달러의 붕괴 위기로 인해 이들 자산에 대한 투자가 필요하다고 주장하며, 현금 보유는 법정화폐 가치 하락으로 손실을 초래할 뿐이라고 지적했다.시장 참여자들은 이더리움이 곧 5,000달러를 돌파할 것으로 기대하고 있다. 일부 애널리스트들은 현재 글로벌 유동성 추세가 이더리움을 1만 달러까지 끌어올릴 수 있다고 분석한다. 데이터에 따르면 대부분의 이더리움 보유자들이 자산을 자체 보관 지갑으로 옮겼으며, 이는 매도 의향이 낮다는 신호로 해석된다.이더리움 개발팀은 블록체인의 개인정보 보호와 보안 강화를 위해 코하쿠(Kohaku) 로드맵을 추진하고 있다. 이 로드맵은 악의적인 공격자로부터 시스템을 보호하는 동시에 사용자 프라이버시를 보장하는 것을 목표로 한다. 개발팀의 이러한 지속적인 노력은 사용자 신뢰를 확보하는 데 중요한 역할을 하고 있다.업그레이드는 채택률 증가를 위한 핵심 촉매제로 작용할 것으로 보인다. 기요사키는 은과 이더리움을 현금의 신뢰할 만한 대안으로 선호하며, 암호화폐를 단순한 투기 자산으로 보는 시각을 일축했다.*면책 조항: 이 기사는 투자 참고용으로 이를 근거로 한 투자 손실에 대해 책임을 지지 않습니다. 해당 내용은 정보 제공의 목적으로만 해석되어야 합니다.*",2025.10.11
"비트코인 가격이 10% 급락하며 2025년 들어 가장 큰 낙폭을 기록했고, 트럼프 대통령의 중국 관세 인상 예고가 글로벌 자산시장 전반에 충격을 줬다. 암호화폐 시장은 하루 만에 2,800억 달러가 증발하며 투자 심리가 급격히 얼어붙었다.10월 10일(현지시간) 투자 전문매체 FX스트릿에 따르면, 도널드 트럼프 미국 대통령이 중국산 제품에 대한 100% 고율 관세 부과 방침을 밝히자 비트코인은 하루 동안 10% 넘게 하락해 10만 8,000달러 아래로 밀렸다. 전체 암호화폐 시장은 약 2,800억 달러가 사라지며 2025년 들어 단일일 기준 가장 큰 낙폭을 기록했다.트럼프 대통령은 이날 SNS 트루스소셜에 “중국산 제품에 대한 대규모 관세 인상을 검토 중”이라고 밝히며 중국을 ‘적대적’이라고 표현했다. 이어 중국이 희토류 수출 통제 조치를 통해 시장을 지배하려 한다고 비판하고, 추가 보복 조치를 검토 중이라고 경고했다. 이 발언 직후 투자 심리가 급격히 위축되며 위험자산 전반에 매도세가 확산됐다.비트코인 하락세는 알트코인 전반으로 번졌다. 이더리움(Ethereum, ETH)은 18% 하락한 3,540달러, 엑스알피(XRP)는 32% 급락한 1.87달러, 솔라나(Solana, SOL)는 20% 떨어진 174달러를 기록했다. 밈코인 부문은 35%, 인공지능(AI) 관련 토큰 부문은 30% 급락하는 등 전방위적인 조정이 나타났다.이번 급락으로 파생상품 시장의 롱 포지션 청산이 급증하면서 데이터 제공업체 코인글래스(Coinglass) 플랫폼이 일시적으로 마비되기도 했다. 하락 직전 비트코인 초기 보유자(OG)는 비트코인과 이더리움에 총 11억 달러 규모의 공매도 포지션을 열어 2,700만 달러 이상의 미실현 이익을 기록한 것으로 집계됐다.증시 역시 급락했다. 스탠더드앤드푸어스(S&P) 500 지수는 2.7%(182포인트) 하락했고, 다우존스지수는 878포인트(1.9%) 떨어졌다. 트럼프의 관세 위협은 올해 4월과 8월에도 암호화폐 시장에 충격을 줬으며, 전문가들은 이번 조치가 10월 들어 형성된 상승 흐름에 찬물을 끼얹을 수 있다고 경고했다.*면책 조항: 이 기사는 투자 참고용으로 이를 근거로 한 투자 손실에 대해 책임을 지지 않습니다. 해당 내용은 정보 제공의 목적으로만 해석되어야 합니다.*",2025.10.11
"글로벌 증시 충격에 코인 시장 급락…비트코인 11만 3,000달러 붕괴10월 10일(현지시간) 글로벌 금융시장을 덮친 위험 회피 심리가 암호화폐 시장으로 빠르게 확산하며 주요 자산 가격이 일제히 급락했다. 비트코인은 11만 3,000달러 선으로 밀려났고 이더리움은 3,800달러대까지 하락하는 등 시가총액 상위 코인 대부분이 두 자릿수 낙폭을 기록했다.한국시간 11일 오전 7시 15분 현재 암호화폐 전문매체 코인마켓캡에 따르면, 비트코인은 전일 대비 6.69% 하락한 11만 3,468달러에 거래되고 있으며 7일 누적 낙폭은 7.41%를 기록했다. 이더리움은 10.72% 급락해 3,899달러를 기록했고, BNB는 12.83%, 리플의 엑스알피(XRP)는 17.56%, 솔라나는 13.76% 하락했다. 특히 도지코인은 26.67%, 카르다노는 24.76% 떨어지며 하락 폭이 가장 컸다.뉴욕증시 급락이 촉발한 위험회피 심리이번 하락의 1차 충격은 뉴욕증시에서 비롯됐다. 도널드 트럼프 미국 대통령이 중국의 희토류 수출 통제 움직임을 강하게 비판하며 대규모 관세 인상을 예고하면서 다우존스30 산업평균지수는 878.82포인트(-1.90%) 하락했고, 스탠더드앤드푸어스(S&P) 500 지수는 2.71%, 나스닥 종합지수는 3.56% 급락했다. 이는 지난 4월 10일 이후 6개월 만의 최대 낙폭이다.트럼프 대통령은 “중국산 제품에 대한 대규모 관세 인상을 검토 중”이라며 “APEC 회담에서 시진핑 주석을 만날 이유가 없다”고 언급, 미·중 무역 갈등 재점화에 불을 붙였다. 이에 따라 기술주 중심의 나스닥이 급락했고, 반도체·AI 테마주 중심의 매도세가 쏟아졌다.글로벌 자산시장 전반에 충격파 확산증시 하락 여파는 원유와 금 등 실물 자산에도 즉각 반영됐다. 서부텍사스산원유(WTI)는 4.24% 급락해 배럴당 58.90달러로 5개월 만의 최저치를 기록했고, 브렌트유 역시 3.82% 하락했다. 반면 안전자산 선호 심리가 강화되며 금 선물은 온스당 4,000달러선을 회복했다.미국 연방정부 셧다운이 10일째 지속되는 가운데 연방 공무원 해고 절차가 본격화되면서 투자심리는 더욱 위축됐다. 시카고옵션거래소(CBOE) 변동성지수(VIX)는 22.44까지 치솟아 4개월 만의 최고치를 경신했다.암호화폐 시장, 기술주와 동조화 심화이번 하락은 암호화폐 시장이 글로벌 증시와 높은 상관성을 보이고 있음을 다시 한번 보여줬다. 최근 몇 주간 비트코인과 나스닥 지수 간 상관계수는 0.6 수준을 유지해왔으며, AI 관련 테마와 디지털 자산에 유입된 투기성 자금이 동시에 이탈하는 현상이 나타났다.기관투자자들이 강세장에서 쌓았던 포지션을 축소하는 움직임도 두드러지고 있으며, 파생상품 시장의 청산 규모가 커질 경우 추가 조정이 단기적으로 확대될 가능성도 제기되고 있다.단기 전망…11만 달러 방어 여부가 관건전문가들은 비트코인 가격이 11만 달러 초반에서 지지선을 확보할 경우 단기 기술적 반등이 나올 수 있지만, 글로벌 위험회피 흐름이 지속될 경우 10만 달러 중반까지의 조정도 배제할 수 없다고 분석한다. 이더리움과 솔라나 역시 주요 지지선 이탈 시 추가 하락 압력을 받을 가능성이 높다.시장 참여자들은 향후 2주간 예정된 APEC 회담 및 미국 셧다운 협상 결과, 미·중 무역 갈등 격화 여부 등을 주목하고 있으며, 리스크 이벤트가 해소되기 전까지는 변동성 확대 국면이 이어질 것으로 전망된다.*면책 조항: 이 기사는 투자 참고용으로 이를 근거로 한 투자 손실에 대해 책임을 지지 않습니다. 해당 내용은 정보 제공의 목적으로만 해석되어야 합니다.*",2025.10.11
"미국 대형 은행 모건스탠리(Morgan Stanley)가 8조 달러 규모의 자산 운용 고객 전원에게 비트코인(Bitcoin, BTC) 및 암호화폐 투자 접근을 허용할 계획을 밝히며 시장에 큰 반향을 일으키고 있다. 이는 지금까지 제한된 고객에게만 허용됐던 암호화폐 투자 문턱을 사실상 전면 개방하는 조치이다.10월 10일(현지시간) 암호화폐 전문 매체 코인게이프에 따르면, 모건스탠리는 기존에 리스크 감내 성향이 높고 최소 150만 달러 이상의 자산을 보유한 고객에게만 허용됐던 암호화폐 투자 제한을 해제했다. 회사는 이미 자사 재무 상담가들에게 암호화폐 투자 상품 접근 범위를 전 고객으로 확대한다고 통보했다. 현재는 블랙록(BlackRock)과 피델리티(Fidelity)의 비트코인 현물 ETF만 대상이다.이번 조치로 퇴직연금 계좌를 포함한 모든 계좌에서 암호화폐 투자 접근이 가능해진다. 특히 이는 미국 대통령 도널드 트럼프(Donald Trump)의 행정명령과도 맞물린다. 해당 행정명령은 401(k) 퇴직연금 자금이 암호화폐에 투자될 수 있도록 허용한 바 있다. 모건스탠리는 10월 15일부터 자사 모든 고객에게 암호화폐 투자를 제안할 수 있도록 할 예정이다.모건스탠리는 기관 투자자 사이에서 암호화폐 수요가 확대되는 흐름에 맞춰 서비스를 강화하고 있다. 회사는 내년부터 E트레이드(E-Trade) 고객에게도 암호화폐 거래 서비스를 제공할 계획이며, 초기에는 비트코인, 이더리움(Ethereum, ETH), 솔라나(Solana, SOL) 거래를 지원할 예정이다.이와 함께 모건스탠리는 성장 지향 투자자에게 암호화폐 비중을 4%까지 배분할 것을 권고했다. 또한 시장 성장 추구형 투자자는 3%, 균형 성장형 투자자는 2% 비중이 적절하다고 밝혔다. 글로벌 투자위원회는 암호화폐를 점점 더 대중화되는 투기적 자산군으로 평가하고 있으며, 다수 투자자가 이를 포트폴리오에 포함하려 한다고 설명했다.전통 금융기관의 대표격인 모건스탠리가 전면적인 암호화폐 투자 개방에 나서면서, 기관 주도 수요 확대와 자금 유입 가속화에 대한 기대감이 고조되고 있다.*면책 조항: 이 기사는 투자 참고용으로 이를 근거로 한 투자 손실에 대해 책임을 지지 않습니다. 해당 내용은 정보 제공의 목적으로만 해석되어야 합니다.*",2025.10.11
"비트코인, '미중 긴장 고조'에 큰 폭 하락…11만5천달러선 하회24시간 전보다 약 4% 떨어져…이더리움 8.2%↓·엑스알피 4.2%↓가상화폐 대장주 비트코인이 10일(현지시간) 미중간 무역 긴장 고조로 큰 폭으로 하락하고 있다.미 가상화폐 거래소 코인베이스에 따르면 미 동부 시간 이날 오후 5시(서부 오후 2시) 비트코인 1개는 24시간 전보다 3.85% 내린 11만4천173달러에 거래됐다.지난 6일 기록했던 사상 최고가 12만6천200달러대보다 1만2천 달러 이상 떨어진 수준이다.같은 시간 시가총액 2위 이더리움 가격은 8.23% 급락해 4천 달러선을 내주며 3천861달러까지 하락했다.엑스알피(리플)는 4.21% 떨어진 2.48달러, 솔라나는 6.27% 내린 197.06달러에 거래됐다. 도지코인도 6.27% 하락하며 0.22달러로 내려앉는 등 주요 가상화폐 가격이 일제히 큰 폭으로 하락했다.이날 큰 폭의 하락은 도널드 트럼프 미국 대통령이 소셜미디어(SNS) 트루스소셜에 중국과 무역 긴장 고조를 시사하는 글을 올리면서 시작됐다.트럼프 대통령은 ""매우 이상한 일들이 중국에서 벌어지고 있다""며 ""그들(중국)은 매우 적대적으로 변하고 있으며, 세계 각국에 서한을 보내 '희토류' 생산과 관련된 모든 요소에 대해 수출 통제를 하겠다고 통보하고 있다""고 밝혔다.이에 ""이 순간 검토하는 정책 중 하나는 미국으로 들어오는 중국산 제품에 대한 대규모 관세 인상""이라며 ""마찬가지로 다른 많은 대응 조치도 진지하게 검토되고 있다""고 전했다.그러면서 ""2주 뒤 한국에서 열리는 APEC(아시아태평양경제협력체) 회의에서 시진핑(중국 국가주석)과 만날 예정이었지만, 이제는 그럴 이유가 없어 보인다""며 덧붙였다.코인 전문 매체 코인데스크는 ""이번 급락은 지난 6일 비트코인이 사상 최고가를 기록한 직후 시작된 조정이 미중 무역 긴장 격화로 더욱 심화됐다""고 분석했다.",2025.10.11
"이더리움(Ethereum, ETH)이 강한 반등 흐름을 이어가며 엘리엇 파동 분석에서 제시된 매수 전략이 유효하게 작동하고 있다. 주요 지지 구간으로 설정된 블루박스(Blue Box) 영역에서 매수세가 유입되며 상승 파동 전환 신호가 강화되고 있다.10월 10일(현지시간) 가상자산 전문 미디어 더크립토베이직에 따르면, 이더리움은 4,035~3,582달러 구간의 블루박스 영역에서 매수세가 포착됐고, 조정이 마무리된 후 강한 반등을 이어가고 있다. 해당 구간은 엘리엇 파동 구조상 조정의 균형 지점인 이퀄 렉스(Equal Legs) 구간으로, 주 상승 추세가 살아 있는 상태에서 3파 반등이 나올 가능성이 높은 자리로 평가됐다.지난 9월 23일 4시간 차트에서 이더리움은 더블 쓰리(Double Three) 조정을 거치며 이 구간에 도달했고, 트레이딩 전략에 따라 매수 포지션이 구축됐다. 3,582달러의 1.618 확장선을 하향 이탈하지 않는 한 상승 전환 시그널은 유효하다는 분석이 제시됐다.10월 6일 기준 이더리움은 3,839.35달러 저점을 형성한 뒤 반등에 성공했다. 블루박스 매수 포지션은 모두 손실 위험이 제거된 상태이며, 스탑로스는 매수가로 조정되고 일부 수익이 실현됐다. 이는 지정된 매수 전략이 정확히 작동했음을 보여준다.분석에 따르면 이더리움은 3,839.35달러 저점 이후 5파 상승을 완성할 것으로 예상되며, 이후 3파 조정이 진행된 뒤 추가 상승이 이어질 가능성이 크다. 핵심 저점이 유지되는 한 5,225.56달러 이상이 1차 상승 목표 구간으로 제시됐다.트레이딩 전략 측면에서 분석가들은 이더리움의 상승 추세가 명확하게 살아있다고 평가하며, 이번 반등이 기술적 매수 구간에서의 전형적인 상승 전환 패턴을 보여준다고 설명했다.*면책 조항: 이 기사는 투자 참고용으로 이를 근거로 한 투자 손실에 대해 책임을 지지 않습니다. 해당 내용은 정보 제공의 목적으로만 해석되어야 합니다.*",2025.10.11
"이더리움(Ethereum, ETH)이 향후 10년 안에 1,219% 상승해 6만 2,000달러에 도달할 수 있다는 월가의 초강세 전망이 나왔다. 이는 현재 가격 대비 12배가 넘는 상승 폭으로, 암호화폐 시장의 지각변동을 예고하는 분석이다.10월 10일(현지시간) 투자 전문매체 더모틀리풀에 따르면, 월가 애널리스트이자 펀드스트랫 글로벌 어드바이저스(Fundstrat Global Advisors) 창립자인 톰 리(Tom Lee)는 이더리움이 장기적으로 전통 금융 시스템을 대체할 수 있는 핵심 인프라로 성장할 것으로 내다봤다. 그는 이더리움의 가격이 2035년까지 6만 2,000달러에 도달할 수 있다고 전망했다.이더리움은 전 세계 수천 개 노드에 의해 운영되는 탈중앙화 플랫폼으로, 스마트 계약을 통해 디파이(DeFi)와 탈중앙화 애플리케이션(dApp)을 구동한다. 유니스왑(Uniswap)과 같은 대표 디앱은 중개자 없이 지갑을 연동해 거래를 자동으로 처리하며, 이는 거래 수수료를 이더리움 기반 암호화폐인 이더(Ether)로 지불하도록 설계돼 있다. 네트워크 사용이 늘수록 이더 수요가 증가하는 구조다.리의 분석 근거는 세 가지다. 첫째, 이더리움의 기술적 ‘베이스 아웃(Base out)’ 패턴이다. 이더리움은 2020~2021년에도 비슷한 구간을 통과한 뒤 130달러에서 4,600달러 이상으로 급등한 바 있다. 둘째, 비트코인(BTC) 대비 이더리움의 가격 비율이다. 이더리움은 지난 8년 평균 0.0479 비율을 기록했으나 현재는 0.0384 수준으로, 과거 고점인 0.0807 수준만 회복해도 1만 달러 이상으로 상승할 여력이 있다는 분석이다. 셋째, 디파이·스테이블코인 생태계 확장이다. 이미 테더(Tether)와 같은 주요 스테이블코인이 이더리움 네트워크에서 운영되고 있다.다만 현실적인 제약도 존재한다. 이더리움 네트워크 일일 활성 지갑 수는 약 62만 6,000개로, 전 세계 인구와 비교하면 아직 매우 제한적인 수준이다. 최근 몇 년간 활성 사용자 수의 성장세도 정체돼 있어, 전통 금융을 대체할 만큼의 대규모 채택에는 시간이 필요할 것으로 보인다.또한 톰 리는 이더리움 283만 개(약 130억 달러)를 보유한 비트마인 이머전 테크놀로지(BitMine Immersion Technologies) 회장을 겸하고 있어, 이와 같은 낙관론에 이해관계가 얽혀 있다는 점도 감안해야 한다는 지적이 나온다.*면책 조항: 이 기사는 투자 참고용으로 이를 근거로 한 투자 손실에 대해 책임을 지지 않습니다. 해당 내용은 정보 제공의 목적으로만 해석되어야 합니다.*",2025.10.11
"텍사스주에서 비트코인 전략 비축 법안을 최초 발의한 상원의원 찰스 슈워트너(Charles Schwertner)는 ETH가 다음 비축 자산이 될 수 있다고 코인텔레그래프에 말했다. 그는 ""이더리움이 24개월 동안 시가총액을 유지한다면 비축하는 게 합리적이고 신중한 방향이라고 생각한다""고 말했다. 텍사스 비트코인 전략 법안에 따라 특정 암호화폐가 준비자산으로 인정받으려면 최근 24개월 동안 평균 시가총액이 최소 5000억 달러를 넘겨야 한다. 현재 ETH 시가총액은 약 4868억 달러 수준이다.",2025.10.11
