news,label,date
"29일(현지시간) 암호화폐 전문매체 크립토뉴스에 따르면 도널드 트럼프 미국 대통령의 대외 관세 정책 여파로 시장이 흔들리는 가운데, 비트코인(BTC), 도지코인(DOGE), 엑스알피(XRP)는 상대적으로 높은 회복력을 보이고 있다.비트코인은 24시간 기준 4% 하락하며 84,000달러대로 밀렸으나, 트럼프 대통령이 캐나다 총리 마크 카니와 통화를 통해 관세가 예상보다 제한적일 수 있음을 시사하면서 투자자들은 완전한 붕괴보다는 단기 조정 국면으로 보고 있다. 특히 이번 사이클에서 네 차례 20~30% 급락 이후 다시 반등한 점에서 강한 저점 방어 흐름이 확인됐다.도지코인과 XRP는 기술적으로 중요한 저항을 돌파하지 못했음에도 불구하고, 고래 매수세와 트레이더들의 지속적인 이익 실현 흐름이 이어졌다. DOGE는 6개월간 41% 상승했고, XRP는 260% 급등하며 여전히 두 자릿수 수익률을 유지하고 있다. DOGE는 0.204~0.214달러 구간 저항을 재차 시험할 수 있으며, XRP는 1.95달러까지 하락할 경우 지지선 테스트 가능성이 있다.반면 이더리움(ETH)은 탈중앙금융(DeFi) 기반 구조로 인해 가장 큰 충격을 받은 것으로 나타났다. 레버리지 청산이 집중되며 ETH는 6개월 고점 대비 40% 이상 하락했으며, 전문가들은 ETH가 “좀비 토큰”이 될 수 있다고 경고하고 있다.현재 공포탐욕지수는 26를 기록하며 극단적 공포 영역에 머무르고 있지만, 일부 투자자들은 리플의 증권거래위원회(SEC) 합의와 도지코인의 펀더멘털 회복에 기대를 걸고 있다. 4월 2일 예정된 추가 관세 발표 전까지는 거래량 감소와 위험 회피 성향이 유지될 가능성이 높다는 분석이다.K33 리서치는 “트럼프의 관세가 예상보다 완화된다면, 비트코인은 88,000달러 저항선을 재시험할 수 있다”고 전했다.",0,2025.04.12
"글로벌 다중 자산 트레이딩 플랫폼 엑스네스(Exness) 소속 애널리스트 잉키 조(Inky Cho)가 ""비트코인의 단기 하락은 마운트곡스를 포함한 주요 고래들의 암호화폐 대규모 이동에 따른 매도 우려 탓""이라고 분석했다. 이어 그는 ""최근 마운트곡스는 수만 BTC를 활발하게 이체하고 있고, 장기간 휴면 상태로 있던 이더리움(ETH) 고래들도 크라켄에 대규모 ETH를 입금하는 등 고래들의 움직임이 관측되고 있다. 미국 트럼프 행정부의 관세 전쟁 촉발과, 미국 경기 침체 우려 등 역시 암호화폐 시장에 충격파를 보내고 있다. 아직 비트코인의 방향성을 판단하기는 시기상조이며, 미국의 정책 결정과 글로벌 거시 및 정치 동향을 주시해야 한다""고 설명했다.",-1,2025.04.12
"온체인 애널리스트 엠버CN에 따르면, 약 2시간 전 이더리움(ETH) 고래 어도러블라군(adorableraccoon.eth)이 약 2시간 전 카우스왑을 통해 1,905.5 ETH로 20,653 AAVE를 매수한 것으로 나타났다. 약 362만 달러 규모로, AAVE 평균 스왑 단가는 175.3 달러다. 코인마켓캡 기준 AAVE는 현재 5.18% 내린 175.97 달러에 거래되고 있다.",0,2025.04.12
"29일(현지시간) 암호화폐 전문매체 코인텔레그래프에 따르면, 미국 민주당 상원의원 5인이 도널드 트럼프 대통령 일가가 지분을 보유한 암호화폐 기업 ‘월드리버티파이낸셜(World Liberty Financial, WLFI)’과 그 산하 스테이블코인 USD1에 대해 강한 우려를 표하며 연방준비제도(Fed)와 통화감독청(OCC)에 관련 대응 방안을 공식 질의했다.이들은 미 상원 은행위원회 명의로 보낸 서한에서 “트럼프 대통령이 WLFI를 통해 직접 재정적 이득을 얻는 구조는 통화 정책 결정의 독립성과 금융 시스템 안정성에 심각한 위협”이라며, “USD1의 발행은 현직 대통령이 금전적 이득을 취하는 구조로, 금융 시스템에 전례 없는 리스크를 야기한다”고 밝혔다.코인텔레그래프는 WLFI가 2024년 9월 미 대선 직전 설립되었으며, 트럼프 대통령과 가족이 회사 지분의 60%를 보유하고 있다고 전했다. 이 회사는 현재까지 두 차례 토큰 세일을 통해 총 5억 5,000만 달러를 조달했으며, 3월 24일 BNB체인과 이더리움에 기반한 첫 스테이블코인 USD1을 정식 발행했다.이 논란은 미 의회가 스테이블코인 규제를 명문화하는 'GENIUS 법안'을 검토 중인 가운데 불거졌다. 해당 법안은 OCC와 연준에 스테이블코인 규제 권한을 부여하는 내용으로, 대통령 직속 기업이 이 구조에 포함될 경우 극단적인 권력 집중 및 이해충돌 문제가 발생할 수 있다는 비판이 나오고 있다.더욱이 트럼프 대통령은 2월 행정명령을 통해 OCC를 포함한 모든 연방기관이 백악관과 정책·우선순위를 정기적으로 협의할 것을 명시하며, 대통령 권한을 대폭 확대하려는 시도를 이어가고 있다. 상원의원들은 이에 대해 ""금융 규제 기관의 독립성을 훼손하고 있다""고 지적했다.트럼프 주니어는 지난 3월 26일 DC 블록체인 서밋에 참석해 공동 창립자들과 함께 USD1을 직접 홍보한 바 있으며, 이는 사실상 현직 대통령 가족이 발행·운영하는 스테이블코인이라는 점에서 미국 금융 역사상 이례적인 사례로 평가된다.",-1,2025.04.12
"29일(현지시간) 암호화폐 전문매체 코인게이프에 따르면, 이더리움(ETH)은 28일 시장 전반의 급락 속에서 1,890달러 아래로 하락하며 주요 암호화폐 중 가장 큰 손실을 기록했다. 하루 동안 청산된 금액은 1억 3,621만 달러에 달해 전체 시장 청산액(4억 4,989만 달러)의 30% 이상을 차지했다.코인게이프는 이번 하락의 주요 원인으로 도널드 트럼프 전 대통령의 '신규 관세 부과' 발표를 지목했다. 이 여파로 글로벌 시장 전반의 투자심리가 급속히 악화되었고, 암호화폐 시장에서도 과도한 레버리지에 의존하던 투자자들이 대거 청산되며 급락세를 촉발했다. 특히 이더리움은 주초 2,100달러까지 상승했다가 반락하며 변동성을 키웠다.기술적으로 ETH는 1,870달러까지 하락한 뒤 현재 1,895달러선에서 거래 중이다. 거래량 증가가 추가 매도 압력을 예고하고 있으며, 단기적으로는 1,850달러와 1,800달러가 주요 지지선으로 작용할 수 있다. 이 지지선이 붕괴될 경우, 1,754달러까지 추가 하락 가능성도 열려 있다.청산 통계를 보면 이더리움이 전체 시장에서 가장 큰 피해를 입었으며, 비트코인(BTC)은 1억 1,656만 달러, XRP는 2,486만 달러, 솔라나(SOL)는 1,728만 달러 규모의 청산이 발생했다. 이는 주요 레이어1 블록체인들이 전반적으로 약세 흐름에 놓여 있음을 보여준다.코인게이프는 이더리움의 하락이 일시적 반락인지, 아니면 더 깊은 조정의 시작인지 판단하기 위해 향후 며칠간의 시장 반응이 중요하다고 분석했다. 특히 4월 중 예정된 미 연준의 통화정책 발표와 펙트라(Pectra) 업그레이드 후속 반응이 추세 반전의 열쇠가 될 수 있다고 덧붙였다.결론적으로, 현 시점에서 이더리움은 단기 반등보다는 하방 리스크에 더 노출돼 있으며, 강한 지지선이 붕괴될 경우 추가 하락이 불가피할 것으로 보인다.",-1,2025.04.12
"29일(현지시간) 암호화폐 전문매체 비인크립토(BeInCrypto)에 따르면, XRP는 최근 4개월간 2.56달러 저항선 돌파에 실패하며 방향성을 잃은 채 정체된 흐름을 이어가고 있다. 장기 보유자들의 지속적인 매집에도 불구하고 뚜렷한 모멘텀 부재 속에서 4월 추가 하락 가능성도 배제할 수 없는 상황이다.비인크립토는 SEC의 소송 종료, XRP ETF 기대감 등 긍정적인 재료에도 불구하고 가격 상승이 제한된 이유에 대해 “이러한 이슈들이 XRP의 실사용성이나 수요 증가로 직결되지 않았기 때문”이라는 완체인(Wanchain) CEO 테무진 루이의 분석을 인용했다. 그는 “XRP는 소송 이전과 크게 달라진 점이 없다”고 강조했다.기술적 관점에서 XRP는 현재 2.20달러 부근에서 거래되고 있으며, 2.14달러와 2.02달러가 단기 지지선으로 작용 중이다. 2.56달러 저항선을 돌파하지 못할 경우 해당 지지선 이탈과 함께 추가 하락이 발생할 수 있다. 과거 사례를 기반으로 한 NUPL 지표는 현재 가격이 ‘포화 구간’에 진입했음을 나타내며, 이는 일반적으로 조정 구간 전환을 의미한다.한편 크로노스 리서치(Kronos Research)의 CEO 행크 황은 “XRP는 비트코인의 ETF 주도 상승세를 따르지도 못하고, 자체적인 독립 랠리도 만들지 못하고 있다”며, 기관의 자금 유입이 여전히 BTC에 집중돼 있다고 설명했다. 최근 이더리움 ETF 자금 유출 역시 시장의 무게 중심이 비트코인으로 쏠리고 있음을 보여준다.그럼에도 불구하고 XRP의 장기 보유자(LTH)들은 현재의 정체 구간에서 지속적으로 매집 중이다. 글래스노드(Glassnode)의 ‘HODLer Position Change’ 데이터에 따르면, 이들의 축적은 하방 지지를 강화하고 있으며, 향후 시장 분위기 반전에 따라 XRP가 빠르게 반등할 수 있는 기반이 될 수 있다.XRP가 다시 상승세로 전환하기 위해서는 반드시 2.56달러 저항선을 강하게 돌파하고 지지선으로 전환해야 한다. 이 구간을 돌파할 경우 2.95달러, 3.00달러, 그리고 궁극적으로 역대 최고가인 3.40달러 재돌파 시나리오도 열리게 된다. 반면 2.14달러 아래로 하락할 경우 2.02달러까지의 단기 조정이 불가피할 전망이다.",-1,2025.04.12
"29일(현지시간) 암호화폐 전문매체 비트코이니스트에 따르면, 이더리움(ETH)은 최근 몇 달간 급락하며 비트코인(BTC)과 솔라나(SOL)에 비해 부진한 흐름을 보였으나, 일부 분석가는 이 구간이 상승 전환의 기점이 될 수 있다고 진단했다. 암호화폐 분석가 애스트로노머(Astronomer)는 “이더리움은 지금 명백한 지지 구간에 위치해 있으며, 이번 상승 사이클에서 4,000달러까지 반등할 가능성이 충분하다”고 밝혔다.비트코이니스트는 ETH가 현재 1,700~1,900달러 구간의 장기 지지선 근처에 머물고 있으며, 이 구간은 과거에도 강한 반등이 출발한 자리였다고 설명했다. 분석가에 따르면, ETH는 현재 장기 가격 범위인 1,700~4,500달러 내에서 다시 하단을 테스트했으며, 이 같은 구조는 과거에도 4,000달러 이상 반등을 이끌어낸 바 있다.애스트로노머는 최근 자신의 비트코인을 ETH로 전환했다며, “이번 사이클 내에 ETH가 BTC를 초과 수익률로 추월할 것이라는 강한 확신이 있다”고 밝혔다. 특히 ETH가 2,100달러 저항을 돌파할 경우, 이후 몇 달 안에 4,000달러에 도달할 수 있다는 전망도 덧붙였다.이더리움은 2022년 저점 대비 두 배 이상 상승했으며, 이는 대부분의 알트코인보다 양호한 성과다. 비트코이니스트는 3월 중순 ETH가 과거 고점을 일시적으로 돌파한 후 재차 조정에 들어갔지만, 이러한 패턴은 이전 상승장에서도 유사하게 나타났으며 결국 새로운 고점을 형성했다고 분석했다.한편 시장 심리는 여전히 극도로 부정적이다. 비트코이니스트는 “현재 이더리움에 대한 커뮤니티 내 평가는 2022년 이후 최저 수준”이라고 밝히며, ETH의 시장 심리 지수가 '14'로 기록되며 극단적 공포 구간에 진입했다고 전했다. 과거에도 유사한 심리 상태에서 ETH는 강력한 반등을 보여준 바 있다.분석가들은 향후 ETH의 반등 시점은 미 연준의 4월 중순 금리 결정과 맞물릴 가능성이 높으며, 펙트라(Pectra) 업그레이드와 같은 네트워크 내재적 변화 역시 ETH 반등의 촉매로 작용할 수 있다고 전망했다.~",0,2025.04.12
"29일(현지시간) 암호화폐 전문매체 코인텔레그래프에 따르면, 비트코인(BTC)은 90,000달러 저항선에서 멀어지며 20일 지수이동평균(EMA)인 85,765달러를 하회했고, 83,000달러 지지선 붕괴 시 81,000달러, 나아가 80,000달러까지 하락할 가능성이 있다. 반면 50일 단순이동평균(SMA)인 89,346달러 돌파 시 95,000달러, 심리적 저항선인 100,000달러까지 상승 여력이 있다.코인텔레그래프는 이더리움(ETH)이 2,111달러에서 하락 반전해 20일 EMA인 2,032달러 아래로 밀리며 하락세를 이어가고 있다고 전했다. 현재 1,800~1,754달러 구간이 핵심 지지대이며, 해당 구간 붕괴 시 1,550달러까지 하락할 수 있다. 반대로 2,111달러를 돌파하고 50일 SMA인 2,293달러를 넘어설 경우 2,550달러까지의 회복이 가능하다.XRP는 2.20달러에서 하락세를 지속하며 이동평균선을 하향 돌파했다. 2달러 지지선이 무너지면 헤드앤숄더 패턴이 완성되며 1.27달러까지 급락할 수 있다. 다만 2달러에서 강하게 반등할 경우, 삼각형 패턴 내에서 횡보를 이어갈 수 있다.솔라나(SOL)는 20일 EMA인 136달러 아래로 하락해 120~110달러 지지 구간까지 하락이 예상된다. 해당 구간 붕괴 시 80달러까지 열려 있으며, 반등 시 50일 SMA인 153달러를 돌파해야 상승세 복귀가 가능하다. 도지코인(DOGE)은 0.21달러 저항선에서 밀려나며 0.14~0.21달러 사이 박스권 움직임이 이어질 전망이다.코인텔레그래프는 이외에도 아발란체(AVAX), 체인링크(LINK), 카르다노(ADA), 톤코인(TON), 바이낸스코인(BNB) 등 대부분의 메이저 알트코인이 20일 및 50일 이동평균선을 하향 이탈하거나 저항선 돌파에 실패하며 단기적 하락 압력을 받고 있다는 점을 강조했다.전문가들은 미국의 신규 관세 조치와 인플레이션 우려가 시장의 불확실성을 높이고 있으며, 각 종목별 지지선 방어 여부가 향후 방향성을 결정할 핵심 변수라고 진단했다.",-1,2025.04.12
"도널드 트럼프 미 행정부의 관세정책 불확실성 속에 인플레이션과 경기침체 우려가 커지면서 28일(현지시간) 뉴욕증시가 급락했다.이날 뉴욕증시에서 다우존스30 산업평균지수는 전장보다 715.80포인트(-1.69%) 내린 41,583.90에 거래를 마쳤다.스탠더드앤드푸어스(S&P) 500 지수는 전장보다 112.37포인트(-1.97%) 내린 5,580.94에, 기술주 중심의 나스닥 지수는 전장보다 481.04포인트(-2.70%) 떨어진 17,322.99에 각각 마감했다.주간으로는 다우지수가 0.96% 하락했고, S&P 500 지수가 1.53%, 나스닥 지수가 2.59% 각각 떨어졌다.S&P 500 지수는 이날 지난 3월 10일(-2.7%) 이후 가장 큰 낙폭을 기록했다. 지난 1월 트럼프 대통령 취임 이후 두 번째로 큰 일일 낙폭이다.이날 발표된 2월 근원 개인소비지출(PCE) 가격지수는 전년 동월 대비 2.8%, 전월 대비 0.4% 올라 전문가 예상을 웃돌았다.함께 발표된 2월 실질 개인소비지출 증가율이 전월 대비 0.1%(명목 증가율 0.4%)에 머문 것도 인플레이션 우려와 함께 소비 둔화 우려를 키웠다.이후 오전 장중 미시간대가 발표한 미국의 소비자 심리지수는 2022년 9월 이후 최저치로 떨어지며 예상했던 것보다 더 나빠진 것으로 확인됐다.이날 발표된 물가 및 소비심리 지표는 트럼프 대통령의 관세 정책 불확실성과 맞물려 투자심리를 급속히 냉각시켰다.특히 고평가 논란이 일었던 대형 기술주들의 낙폭이 컸다.테슬라(-3.53%), 엔비디아(-1.58%), 메타(-4.29%), 아마존(-4.33%), 마이크로소프트(-3.02%), 알파벳(-4.88%), 애플(-2.68%) 등 '매그니피센트 7' 종목이 일제히 하락했다.2021년 이후 미국 기업공개(IPO) 시장 최대어로 꼽히며 기대를 모았던 인공지능(AI) 기업 코어위브는 이날 뉴욕증시에 상장, 흥행몰이에 실패한 채 공모가인 40달러를 간신히 유지한 채 마감했다.일명 '공포지수'로 불리는 미 시카고옵션거래소(CBOE)의 변동성지수(VIX)는 전 거래일보다 2.96포인트 오른 21.65로 상승해 다시 20선 위로 올랐다.인플레이션 우려에도 불구하고 경기침체 공포가 더욱 부각되면서 미 국채 수익률은 하락했다.전자거래 플랫폼 트레이드웹에 따르면 10년 만기 미 국채 수익률은 이날 뉴욕증시 마감 무렵 4.26%로 전날 같은 시간 대비 11bp(1b=0.01%포인트) 급락했다.관세정책 불확실성 속에 안전자산 선호 심리가 부상하면서 국제 금값은 최고치를 경신했다.로이터 통신에 따르면 이날 금 현물 가격은 장중 온스당 3천86.70달러까지 고점을 높이며 종전 최고치 기록을 경신했다.금 선물도 이날 최고치 기록을 다시 세웠다. 뉴욕상업거래소에서 6월 인도분 금 선물 종가는 전장보다 0.8% 오른 온스당 3천114.30달러로 종가 기준 종전 최고 기록을 넘어섰다.국제유가는 소폭 하락했다. ICE 선물거래소에서 5월 인도분 브렌트유 종가는 배럴당 73.63달러로 전장보다 40센트(0.54%) 하락했다.AXS인베스먼트의 그레그 바숙 최고경영자(CEO)는 ""투자자들에게 있어 또 하나의 큰 경고 지점은 관세의 인플레이션 영향이 아직 지표에 반영되지 않았다는 점은 지금이 폭풍전야라는 주장을 뒷받침한다""라며 ""향후 수개월간 인플레이션은 낮아지기보단 높아질 가능성이 크다""라고 말했다.한편 암호화폐 대장주 비트코인은 28일(현지시간) 인플레이션 우려에 8만5천달러선 아래로 떨어졌다.미 가상화폐 거래소 코인베이스에 따르면 미 동부 시간 이날 오전 11시 28분(서부 오전 8시 28분) 비트코인 1개당 가격은 8만4천168달러에 거래됐다.이는 24시간 전보다 3.68% 내린 수준으로, 전날 8만7천달러대에서 거래되던 가격이 8만5천 달러선을 하회했다.같은 시간 시가총액 2위 이더리움과 엑스알피(리플)는 각각 7.11%와 7.53%, 솔라나와 도지코인은 6.94%와 7% 내리는 등 주요 가상화폐가 일제히 큰 폭의 약세를 보이고 있다.가상화폐의 이날 약세는 미국 중앙은행이 중시하는 인플레이션 지표가 2월 들어 물가 상승 압력이 높아졌음을 시사한 데 따른 것으로 풀이된다.",-1,2025.04.12
"29일(현지시간) 암호화폐 전문매체 코인텔레그래프에 따르면, 이더리움(ETH)은 3월 26일부터 28일까지 9.3% 하락하며 1,860달러 지지선을 재차 테스트했다. 이 조정으로 ETH 선물 미결제 약정에서 1억 1,400만 달러 규모의 청산이 발생했으며, 선물 프리미엄은 1년 만에 최저치인 연 2%까지 하락했다.코인텔레그래프는 이처럼 낮은 선물 프리미엄이 일부 투자자들 사이에서 '바닥 신호'로 해석되고 있지만, 실제론 최근 급락에 따른 심리적 위축이 더 큰 요인이라고 분석했다. 통상 ETH 선물 프리미엄이 5~10% 수준이면 중립 구간으로 간주되나, 3월 8일 이후 24% 하락세가 이어지며 현재는 롱 포지션 수요가 크게 위축된 상태다.또한 ETH 옵션 시장의 25% 델타 스큐가 현재 +7%에 도달하면서, 고래와 기관투자자들이 하락에 대비한 풋옵션을 매수하고 있다는 점이 확인됐다. 해당 지표가 +6%를 넘으면 시장이 하방 위험을 우려한다는 신호로 해석되며, 이는 ETH 추가 하락 가능성을 높이는 요인이다.코인텔레그래프는 이더리움 네트워크 활동 감소 역시 ETH 매수 매력을 떨어뜨리는 핵심 요인으로 지목했다. 레이어2 확산으로 베이스 체인의 수수료 수익이 줄고 있으며, 검증인 보상 유지를 위한 ETH 추가 발행은 스테이킹 수익률을 악화시켜 투자 매력을 더 낮추고 있다.더불어 이더리움의 경쟁자는 BNB체인과 솔라나를 넘어, 특정 목적에 특화된 블록체인까지 확장되고 있다. 특히 하이퍼리퀴드(Hyperliquid), 베라체인(Berachain) 등은 스테이킹 기반 유동성 최적화에 초점을 맞추고 있으며, 대표적인 이더리움 기반 프로토콜인 에테나(Ethena)마저 53억 달러 규모 TVL을 기반으로 자체 L1으로 전환 중이다.다만, ETH 추가 하락을 단언하긴 이르다는 의견도 있다. 조만간 예정된 이더리움 '펙트라(Pectra)' 업그레이드가 베이스 레이어 수수료와 사용자 경험 개선에 실질적인 효과를 보인다면, 중장기 회복의 전환점이 될 가능성도 열려 있다.",-1,2025.04.12
