news,date,label
"23일(현지시간) 코인셰어즈 블로그에 따르면, 지난주 디지털 자산 투자 상품은 총 3억800만 달러의 순유입을 기록하며 견고한 흐름을 유지했다. 그러나 19일 하루 동안 5억7,600만 달러가 유출되며 단일 최대 유출을 기록했고, 주 후반 이틀간 유출 규모는 총 10억 달러에 달했다.FOMC의 매파적 영향과 시장 조정미 연방준비제도(FOMC)가 발표한 금리 전망(점도표)의 여파로 디지털 자산 투자 상품의 총 운용 자산(AuM)은 약 177억 달러 감소했다. 이는 전체 AuM의 0.37%에 해당하며, 기록된 단일 최대 유출로는 13번째로 큰 규모다. 참고로 가장 큰 단일 유출은 2022년 중반, FOMC 금리 인상 발표 당시 2.3%의 유출(5억4,000만 달러)을 기록한 바 있다.비트코인과 이더리움의 견고한 흐름비트코인(BTC)은 주간 순유입 3억7,500만 달러를 기록하며 투자자들의 높은 신뢰를 입증했다. 이더리움(ETH) 역시 5,100만 달러의 순유입을 기록하며 강세를 이어갔다. 반면 솔라나(SOL)는 870만 달러의 유출로 대조적인 모습을 보였다.선택과 집중: 알트코인 강세다중 자산 투자 상품은 지난주 1억2,100만 달러의 유출을 기록하며 가장 큰 타격을 받았으나, 일부 알트코인은 강세를 보였다. 리플(XRP)은 880만 달러, 호라이즌(Horizen)은 480만 달러, 폴카닷(Polkadot)은 190만 달러의 순유입을 기록하며 투자자들의 선택적 접근이 강화되고 있음을 보여줬다.디지털 자산 시장은 단기적 변동성에도 불구하고, 비트코인과 이더리움의 강세와 특정 알트코인으로의 선택적 투자로 안정적인 흐름을 유지하고 있다. 10억 달러 유출이라는 외형적 충격에도 디지털 자산 시장은 여전히 회복력을 보이며 투자자들의 주목을 받고 있다.",2025.09.23,0
"코인쉐어스 주간 자금 흐름 보고서 따르면 지난주 디지털자산 투자 상품에 3억 800만 달러가 순유입됐다. 11주 연속 순유입 흐름이 지속됐다. 비트코인 투자 상품에 3억 7500만 달러가 순유입됐다. 이더리움 투자 상품에는 5130만 달러가 순유입됐다. 반면, 솔라나 투자 상품에는 870만 달러가 순유출됐다.",2025.09.23,1
"이더리움(ETH)의 가격이 2024년 내에 3,500달러를 돌파할 가능성이 제기됐다. 현재 이더리움은 주요 저항선과 지지선 사이에서 거래되고 있으며, 시장의 낙관적 전망이 확산되고 있다.23일(현지시간) 암호화폐 전문매체 뉴스BTC에 따르면, 암호화폐 애널리스트 저스틴 베넷(Justin Bennett)은 이더리움이 3,540달러 저항선을 주간 기준으로 돌파해야 상승세를 이어갈 수 있다고 분석했다. 만약 이 저항선을 돌파하지 못한다면, ETH는 3,000달러 지지선 아래로 하락해 2,600달러까지 내려갈 가능성도 있다.한편, 또 다른 분석가 ‘Titan of Crypto’는 이치모쿠 구름대(Ichimoku Cloud) 활용한 분석을 통해 이더리움이 조정 사이클의 막바지에 접어들었을 가능성을 언급했다. 이 분석은 현재 구름대(Kumo Cloud)의 지지선이 강력한 지지 기반을 제공하고 있어 추가 상승의 기초가 될 수 있다고 평가했다.뉴스BTC는 지난 며칠간 이더리움 고래들이 약 1조 달러 이상의 이더리움을 매집하며 시장 신뢰를 높였다고 짚었다. 이와 함께 미국에서 출시된 현물 이더리움 ETF는 20억 달러 이상의 자금을 유입받으며 투자자들의 관심을 끌고 있다. 특히 규제 당국이 ETF 내 스테이킹 수익 허용 여부를 결정할 경우, 이더리움 ETF의 성장세가 비트코인 ETF를 능가할 가능성도 제기됐다.현재 이더리움은 3,330달러에서 거래되고 있으며, 하루 기준으로는 0.7%, 주간 기준으로는 15.7% 하락했다. 그러나 전문가들은 단기적으로 기술적 지표인 RSI(상대 강도 지수)와 이동 평균선(MA)이 돌파 가능성을 시사하고 있어 상승 여력이 충분하다고 전망했다.향후 3개월 내에 이더리움이 35% 상승하고, 1년 내에 100% 이상의 성장을 기록할 가능성이 있다는 분석도 나오고 있다. 이러한 낙관적 전망은 이더리움이 중·장기적으로 강력한 성장세를 보일 것이라는 신호로 해석된다.",2025.09.23,1
"최근 자체 메인넷 출시를 발표한 이더리움(ETH) 레이어2 확장 솔루션 업체 모프(Morph)가 공식 채널을 통해 모프 주(Zoo) 인센티브 캠페인 시즌2에 자체 토큰의 10%를 할당한다고 밝혔다. 주 캠페인 시즌2는 2025년 2월 20일까지 진행될 예정이며, 모프 메인넷 생태계 개발에 기여한 참가자들을 대상으로 160만 모프 포인트를 지급할 계획이다. 참가자들은 공식 모프 브릿지(Morph Bridge), 오비터 파이낸스(Orbiter Finance), 아울토 파이낸스를 통해 모프 메인넷으로 자산을 이체 시 포인트를 획득할 수 있다. 이체 규모와 자산 보유 기간에 따라 포인트가 적립된다. 비트겟 월렛 사용자는 브릿지 이용 시 1.2배의 포인트를 받을 수 있다. 또 불바스왑(BulbaSwap) 등 DEX나 다른 생태계 댑에서 트랜잭션 발생 시에도 포인트 적립이 가능하다. 주 캠페인 시즌1 당시 700만개 계정이 29억 투표 수와 1억 건 이상의 트랜잭션을 기록한 바 있다.",2025.09.23,1
"암호화폐 스테이킹 플랫폼 라이도(LDO)가 X를 통해 라이도의 스테이킹 기능을 오픈체인 앱에 지원하는 이더리움 SDK를 출시했다고 밝혔다, 라이도는 ""라이도 타입스트립트(TypeScript) 기반 도구 모음으로, 주요 기능으로는 이더리움 스테이킹, 보상 추적, 출금, 래핑 등이 포함돼 있다. SDK는 멀티체인 지원 기능을 갖추고 있어, 옵티미즘(OP) 메인넷 등 네트워크에서의 스테이킹·언스테이킹도 지원한다""고 설명했다.",2025.09.23,1
"암호화폐 서비스 제공업체 매트릭스포트(Matrixport)가 보고서를 통해 ""현재 시장에는 이더리움(ETH)의 반등을 뒷받침할 뚜렷한 호재가 부족하다. BTC 도미넌스가 여전히 견고한 데다 이더리움 도미넌스는 지난 7월 현물 ETF 출시 이후 줄곧 하락세를 보이고 있다. 다만 오는 2025년에 시장 환경이 유리해질 경우 새로운 상승 발판이 마련될 수도 있다""고 내다봤다.",2025.09.23,0
"해시키그룹의 자체 개발 이더리움 레이어2 퍼블릭체인 해시키체인(HashKey Chain)이 공식 채널을 통해 지난 20일(현지시간)부터 22일까지 홍콩에서 개최한 '해시키 해커 하우스 타이추'(HashKey Hacker House Taichu) 행사를 성공적으로 마쳤다고 밝혔다. 디파이, 실물자산 토큰화(RWA), INO, 페이먼트 전문 100여명의 개발자가 참여한 해당 해커 하우스에는 오비터파이낸스, 메타에라, 우미닷컴 등이 공동 주최사로 참여했다. 특히 마지막날 진행된 데모데이에서는 리퀴드(Likwid)와 스테이블스왑(Stable Swap)이 1등, 애스테로이덱스(Asteroidx) 및 레고(Lego)가 2등, Bnb3 및 라이트닝허스키(Lightning Huskey)가 3등에 입상했다.",2025.09.23,1
"23일(현지시간) 암호화폐 전문매체 뉴스BTC의 분석에 따르면, XRP 가격은 최근 2.38달러 저항선에서 하락하며 현재 2.30달러와 100시간 단순 이동평균선(SMA) 아래에서 거래되고 있다. 2.38달러에서 고점을 형성한 뒤, XRP는 2.30달러와 2.25달러 지지선을 잇달아 하락 돌파했다.현재 XRP는 1.955달러에서 2.383달러로 상승했던 피보나치 되돌림 수준의 50% 아래로 내려갔다. 주요 저항선은 2.25달러와 2.30달러로, 이를 돌파하면 2.40달러 이상으로 상승할 가능성이 있다. 특히, 2.40달러를 넘는다면 단기적으로 2.50달러 및 2.62달러까지 추가 상승할 가능성이 있다고 분석됐다.반면, 2.25달러 저항선 돌파에 실패할 경우, XRP는 다시 하락할 가능성이 높다. 첫 번째 주요 지지선은 2.12달러이며, 이는 상승 움직임의 61.8% 피보나치 되돌림 수준과 일치한다. 2.12달러를 하회할 경우, XRP는 2.05달러와 2.00달러 지지선까지 하락할 수 있으며, 더 큰 하락이 이어질 경우 1.88달러까지 후퇴할 가능성도 있다.기술적 지표는 XRP의 단기적인 약세를 나타내고 있다. MACD(이동평균 수렴확산 지수)는 약세 구간에서 가속화되고 있으며, RSI(상대 강도 지수)는 50 아래에서 하락세를 보이고 있다.전문가들은 2.00달러 지지선 방어 여부가 XRP의 단기적 방향성을 결정할 중요한 요인이라고 보고 있다.한편 암호화폐 온체인 분석 플랫폼 샌티멘트가 X를 통해 ""지난 2년 동안 암호화폐 보유자가 크게 늘었다. 시가총액 기준 상위 4대 암호화폐의 비어있지 않은 월렛 수는 비트코인(BTC) 5,470만개(27% 증가), 이더리움(ETH) 1억3,490만개(47% 증가), 테더(USDT) 6억5,700만개(66% 증가), 리플(XRP) 5억7,500만개(28% 증가) 등으로 집계됐다""고 전했다.",2025.09.23,-1
"트론(Tron) 창립자 저스틴 선이 최근 1억 4,300만 달러 상당의 이더리움(ETH)을 매도하며 시장에 압박을 가하고 있다. 암호화폐 전문매체 코인게이프에 따르면, 이더리움 가격은 4,000달러 저항선 돌파에 실패한 후 약 17% 하락했으며, 3,000달러 아래로 추가 하락할 가능성이 제기되고 있다.블록체인 분석업체 스팟 온 체인(Spot On Chain)에 따르면, 저스틴 선은 최근 리도 파이낸스(Lido Finance)와 이더파이(EtherFi)에서 39,999 ETH를 인출해 HTX로 전송했다. 이와 함께 11월 10일 이후 약 10만 8,919 ETH를 평균 3,674달러에 매도하며 가격 변동에 영향을 미쳤다.이더리움은 23일(현지시간) 현재 3,500달러 지지선을 잃은 상태로 약세 심리가 강화되고 있다. 일부 분석가들은 가격이 2,800달러까지 하락할 가능성을 제기하며 고래들의 매도세가 지속될 경우 추가적인 하락이 예상된다고 전망했다.반면, 분석가 '아이 앰 크립토 울프(I am Crypto Wolf)'는 이더리움 가격이 역헤드앤숄더(iHS) 패턴을 형성하고 있다고 분석하며, 1월 말 반등이 시작될 경우 4,000달러를 돌파하고 5월까지 10,000달러 목표치를 달성할 가능성이 있다고 밝혔다.현재 온밸런스 볼륨(OBV) 지표는 안정적인 구매 및 매도 압력을 보여주고 있지만, 가격 하락 시 3,000달러 지지선이 강하게 시험될 것으로 보인다.전문가들은 3,000달러 수준에서의 반등 여부가 이더리움의 향후 방향성을 결정하는 주요 변수라고 분석하며, 고래 매도세와 함께 시장의 변동성을 주시할 필요가 있다고 조언했다.",2025.09.23,-1
"유명 암호화폐 애널리스트 벤자민 코웬(Benjamin Cowen)이 유튜브 채널을 통해 비트코인(Bitcoin, BTC) 대비 이더리움(Ethereum, ETH)이 내년 상승세를 기록할 것이라는 전망을 제기했다.코웬은 “과거 가격 패턴을 보면, ETH/BTC는 보통 12월에서 1월 사이 바닥을 형성했다”라며, 올해 말까지 ETH/BTC 약세 가능성을 제기했다.그러나 “달러 대비 비트코인 가치와 상관없이 2025년에는 ETH/BTC 강세가 관측될 것”이라고 덧붙였다. 특히, 2017년과 2021년과 같이 분기별 수익률 측면에서 ETH/BTC가 상승세를 기록할 것으로 예측했다.뉴스BTC에 따르면, 크립토퀀트 기고가 MAC_D는 이더리움의 장기 보유 지갑 증가 기록에 주목했다. 그는 8월부터 12월까지 이더리움의 누적 보유 지갑의 잔액이 60% 증가했다고 설명했다. 그중 16%인 1,940만 ETH는 이더리움 공급량에 해당하는 것으로 추산됐다.MAC_D는 최근 관측된 누적 속도는 이전 상승 주기 기록과 다르다고 언급하며, 트럼프 행정부 출범 후 긍정적인 디파이(DeFi, 탈중앙화 금융) 산업 정책 변화를 기대하는 시장 상황을 반영한 결과라고 분석했다.MAC_D는 누적 보유 지갑이 지속적으로 이더리움을 매수하여 가격 하락을 방지하고, 장기적으로 강력한 상승 가능성을 제공한다고 강조했다. 이 외에도 이더리움 가격이 누적 보유 지갑의 이더리움 평균 매입가 아래로 하락한 적이 없다는 사실도 언급했다.",2025.09.23,1
"소소밸류에 따르면 지난 주 이더리움 현물 ETF에 6,273만 달러(한화 910억원 상당)가 순유입된 것으로 집계됐다. 가장 많은 순유입액을 기록한 이더리움 현물 ETF는 블랙록 ETHA로 1.44억 달러가 순유입됐다. 반면 그레이스케일 ETHE에서는 9,983만 달러가 순유출됐다. ETH 현물 ETF는 현재까지 누적 23억 2800만 달러(3조 3,781억원) 순유입됐다.",2025.09.23,0
