news,label
비탈릭 부테린 이더리움(ETH) 창시자가 샘 뱅크먼 프리드 FTX 창업자의 트위터를 언팔로우한 것으로 나타났다.,1
"이더리움(Ethereum) 확장 솔루션 폴리곤(Polygon, MATIC)이 최근 FTX 파산 사태에도 다른 알트코인에 비해 선전하며 시가총액 10위 자리를 꿰찼다.암호화폐 MATIC은 16일(한국시간) 오후 2시 18분 현재 코인마켓캡 기준 0.9465달러에 거래되고 있다. 이는 24시간 전 대비 1.90% 상승한 가격이다. 현재 시가총액은 약 83억 달러로, 폴카닷(DOT, 시총 약 68억 달러), 솔라나(SOL, 시총 약 52억 달러)를 제치고 '톱10'에 등극했다.나이키가 폴리곤(MATIC) 기반 웹3 플랫폼을 출시한다는 소식에 14일(현지시간) 기준 폴리곤 고유 주소 수가 1억9095만개로 역대 최다를 기록했다.앞서 나이키는 디지털 의류 및 대체불가토큰(NFT)을 위한 웹3(Web3) 플랫폼인 Dot Swoosh를 폴리곤 네트워크에서 출시한다고 예고한 바 있다.한편 암호화폐 전문매체 코인데스크에 따르면 월가 투자은행 번스타인은 최신 연구 보고서에서 폴리곤이 웹3 분야에서 두각을 드러낸다고 언급했다.보고서는 ""폴리곤은 아마존, 유튜브, 에어비앤비 등 글로벌 기업 인재를 공격적으로 영입했고, 소비자 중심 브랜드 구축을 위해 사업 개발에 힘썼다""며 ""이로 인해 폴리곤은 수백만 사용자를 위한 웹3 분야 진입로로 부상했다""고 평가했다.",2
"상위 100개 이더리움 고래 지갑이 지난 24시간 동안 가장 많이 구매한 토큰은 다음과 같다. 스테이블코인은 제외.1. ETH $303,4152. TEL $10,8933. DYDX $3,7964. MATH $1,7405. CTSI $4656. VIDT $1537. BOBA $76코인니스는 웨일스탯(Whalestats)과 협업해 거래소 및 프로젝트 지갑을 제외한 상위 100개 이더리움 지갑을 추적하고 있다.",1
"더구루에 따르면, 국내 최초 가상자산 거래소 코빗이 국내 업계 최초로 자사가 보유한 가상자산 내역 관련 사항 전반을 공개하기로 했다고 16일 밝혔다. 이번 결정으로 코빗 고객은 홈페이지를 통해 비트코인(BTC), 이더리움(ETH), 리플(XRP)을 비롯한 코빗에 상장된 모든 가상자산에 대해 매일마다 코빗이 보유한 수량과 이를 확인할 수 있는 지갑 주소까지 정확히 알 수 있게 된다. 코빗 공식 웹사이트에 따르면, 코빗은 15일 기준 6,884.6370 BTC, 63,749.1391 ETH, 137,647,240.3160 XRP 등을 보유 중인 것으로 나타났다.",1
"뉴욕증시는 생산자 물가가 둔화했다는 소식에 강한 상승세를 보였으나 오후 들어 폴란드에 러시아 발사 추정 미사일이 떨어졌다는 소식에 오름폭을 축소했다.15일(미 동부시간) 뉴욕증권거래소(NYSE)에서 다우존스30산업평균지수는 전장보다 56.22포인트(0.17%) 오른 33,592.92로 거래를 마쳤다. 스탠더드앤드푸어스(S&P)500지수는 전날보다 34.48포인트(0.87%) 상승한 3,991.73으로, 나스닥지수는 162.19포인트(1.45%) 상승한 11,358.41로 장을 마감했다.소비자물가지수에 이어 생산자물가지수도 이전보다 상승률이 낮아지면서 인플레이션이 고점을 지났다는 기대를 높였다.하지만, 폴란드에 러시아 발사 추정 미사일이 떨어졌다는 소식이 전해지며 다우지수와 S&P500지수는 한때 하락세로 전환됐다.외신들에 따르면 이날 경로를 벗어난 미사일 2발이 폴란드 동부 우크라이나 국경지대 마을 프르제워도우에 떨어져 2명이 사망했다.폴란드는 북대서양조약기구(NATO·나토)와 유럽연합(EU) 회원국이다. 러시아는 이날 키이우를 비롯해 우크라이나 주요 도시에 약 100발의 미사일 공격을 퍼부으며 대규모 공습을 재개했다. 이번 미사일 역시 러시아에서 발사된 것으로 추정되며, AP통신이 장중 미 정보당국 고위관계자를 인용해 러시아 미사일이 폴라든 영토 내에 떨어져 사망했다고 전하면서 위험회피 심리가 커졌다.미 국방부는 이후 일단 해당 보도를 확인할 수 없다고 밝혔다.달러-엔 환율도 장중 전날보다 1.4%가량 하락한 137.690엔까지 떨어지며 위험회피 심리에 엔화 가치가 크게 올랐다. 엔화 강세 속에 달러지수도 한때 105.300까지 떨어졌다.달러화 가치는 이미 미국의 생산자물가가 둔화했다는 소식에 하락 압력을 받고 있었다.미 노동부에 따르면 10월 생산자물가지수(PPI)는 전월 대비 0.2% 상승했다.이는 월스트리트저널(WSJ) 전문가 예상치였던 0.4% 상승보다 낮은 것으로 전월치인 0.2% 상승과 같은 수준이다.10월 PPI는 전년 동기 대비로는 8.0% 올라 전월치인 8.4%보다 상승률이 0.4%포인트 하락했다. 월가 예상치인 8.3% 상승도 밑돌았다.PPI는 지난 3월 지난해 같은 기간보다 11.7% 급등하며 역대 최고 상승률을 찍었었다. 이후 상승 폭이 꾸준히 둔화하고 있다.미 10년물 국채금리는 위험회피 심리와 인플레이션 압력 완화 소식에 9bp가량 하락한 3.76%까지 밀렸다. 금리가 하락했다는 것은 가격은 올랐다는 의미다. 10년물 금리는 10월 초 이후 가장 낮은 수준으로 밀렸다.인플레이션 압력이 둔화하면 연방준비제도(연준·Fed)의 금리 인상 속도가 둔화하고, 이후 금리 인상을 중단할 가능성이 커진다.전날 레이얼 브레이너드 연준 부의장은 조만간 금리 인상 속도가 느려질 수 있다고 언급해 속도 조절론에 힘을 보탰다.래피얼 보스틱 애틀랜타 연방준비은행(연은) 총재는 이날 연설에서 광범위한 인플레이션 완화 조짐이 보일 때까지 금리를 계속 인상해야 한다면서도 정책은 시차를 두고 작동한다고 말했다.트레이더들은 연준이 12월 연방공개시장위원회(FOMC) 정례회의에서 기준금리를 0.50%포인트 인상할 것으로 예상하고 있다.미국 소매 유통업체들의 실적이 예상치를 웃도는 점은 경기 침체에 대한 우려를 덜어줬다.월마트는 3분기에 예상치를 웃도는 매출과 순이익을 발표하고, 연간 전망치를 상향했다는 소식에 주가는 6% 이상 올랐다.건축자재 유통업체 홈디포는 예상치를 웃도는 실적을 발표해 주가는 1.6%가량 올랐다.미국 뉴욕주의 11월 제조업 활동도 4개월 만에 확장세로 전환됐다. 뉴욕 연방준비은행이 발표한 11월 엠파이어 스테이트 제조업지수가 전월보다 13.6포인트 오른 4.5를 기록했다. 지난 10월에는 수치가 -9.1을 기록한 바 있다.뉴욕증시 전문가들은 생산자물가의 둔화도 연준의 방향 전환 가능성을 높인다고 말했다.펜실베이니아 대학교 와튼스쿨의 제러미 시겔 교수는 이날 CNBC에 출연해 ""이번 수치는 연준의 피벗(가능성)을 끌어올린다""라며 ""우리에게 필요한 것은 현장에서 실제 가격이 어떠한지, 그리고 그것들이 오르고 있지 않다는 것을 인식하는 것이다""라고 말했다.모건스탠리 글로벌 투자 오피스에 마이크 로웬가트는 CNBC에 ""PPI는 확실히 인플레이션 추세가 아래쪽으로 향하고 있다고 느끼는 이들에게 기름을 부었다""라며 ""시장은 지난주 소비자물가 하향 소식을 받아들였고, 이날 초기 반등도 그와 비슷했다""라고 말했다.시카고옵션거래소(CBOE) 변동성 지수(VIX)는 전장보다 0.81포인트(3.41%) 오른 24.54를 기록했다.한편 암호화폐 시장은 세계적 암호화폐 거래소인 FTX가 파산보호 신청 여파에서 벗어나 반등 흐름을 보였다. 미국 증시 상승도 투심에 영향을 미친 모습이다.코인마켓캡에 따르면 16일(한국시간) 오전 8시 4분 현재 기준 암호화폐 대장주 비트코인은 24시간 전 대비 2.55% 오른 16,865달러에 거래되고 있다.알트코인 대장주 이더리움도 1.75% 올라 1,245달러를 기록 중이다.전체 암호화폐 시가총액은 1.91% 증가해 현재 8,445.1억 달러 규모이다.",2
"더블록에 따르면 일본 투자은행 노무라 산하 암호화폐 트레이딩 부서 레이저 디지털(Laser Digital)이 2023년 중반까지 비트코인, 이더리움 암호화폐 펀드와 ETF를 출시할 계획이다. 단 기존의 100명 추가채용 계획은 50명 정도로 수정됐다. 두바이 라이선스는 내년 1분기 취득할 것으로 전망된다.",2
"암호화폐 약세장은 우량한 암호화폐를 저렴하게 매수할 절호의 기회이기도 하다. 최근 비트코인(BTC), 이더리움(ETH)과 같은 대형주 코인도 역대 최고가 대비 70% 이상 하락하는 등 매력적인 진입가를 형성하고 있다. 이에 블록체인 분석사이트 cryptopr.com에서 2022년에 사야할 성장 잠재력이 큰 최고의 암호화폐 7종을 소개했다. 암호화폐 순위는 성장 잠재력, 현재 시가 총액, 전고점 대비 가치 비율 등 다양한 요인을 고려하여 선정됐다.지금 사기 좋은 최고의 암호화폐로는 ▲대시 2 트레이드(Dash 2 Trade): 자동화 매매 기능을 제공하는 암호화폐 애널리틱스 플랫폼 ▲로보테라(RobotEra): 새로 출시된 P2E, NFT, 메타버스 암호화폐 사전판매 프로젝트 ▲임팩트 프로젝트(IMPT): 탄소 크레딧 소각으로 리워드를 보상받는 암호화폐가 있다.그 외에도 ▲칼바리아(Calvaria): 낮은 수수료와 고대역폭을 자랑하는 인기 있는 P2E 게임토큰 ▲비트코인(Bitcoin): 암호화폐의 대표 코인을 저가 매수할 최고의 기회 ▲이더리움(Ethereum): 지분증명 업그레이드 전 매입할 수 있는 기회 ▲BNB: 세계 최대 암호화폐 거래소의 네이티브 토큰이 추천됐다. 올해 직면한 암호화폐 약세장에 대응하여 수익화할 수 있는 최적의 전략은 다양한 암호화폐로 다각화된 포트폴리오를 구축하는 방법이다. 여기서 소개하는 디지털 자산들로 단단한 암호화폐 포트폴리오를 구축하여 수익을 극대화할 수 있다. 먼저 대시 2 트레이드(D2T)는 ERC-20 기반 프로젝트로 암호화폐 트레이더를 위한 모든 종류의 분석 툴을 제공하는 유일무이한 플랫폼이다. 현재 사전판매 3단계가 진행되고 있다. D2T는 3단계 개시 24시간 만에 40만달러를 모금하고. 일주일만에 350만달러를 모금했다. 이러한 이유로 일부 암호화폐 매니아 투자자들은 D2T 토큰을 2022년 암호화폐 최고의 승자라고 일컫기도 한다. 네이티브 D2T 토큰은 대시 2 트레이드 생태계 전체를 작동시킨다. D2T 토큰은 면세 코인이며, 대시 2 트레이드 플랫폼에서 코인 거래 전략을 백테스팅해보거나 플랫폼 이용권을 구매하고자 하는 다양한 사람들이 이용한다. 따라서 토큰에 대한 수요는 플랫폼이 정식 출시된 후 급등할 것으로 예상되어 D2T 역시 큰 폭의 가치 상승을 기대할 수 있다. 대시 2 트레이드 플랫폼은 암호화폐를 수익화하고자 하는 투자자 및 트레이더에게 특화된 기능을 방대하게 제공한다. 대시 2 트레이드 백서에도 나와 있듯이 대시 2 트레이드 플랫폼은 자동화 매매, 온체인 메트릭 트래커, 최신 사전 판매 프로젝트 및 ICO 를 평가하는 맞춤형 시스템 등의 첨단 도구를 제공한다. 대시 2 트레이드 이용권은 크게 세가지 등급(tier)으로 제공된다:무료 등급은 기본적인 지표를 이용할 수 있도록 하여 초보자들이 플랫폼에 익숙해질 수 있도록 한다. 또 스타터 등급은 월별 400 D2T의 구독료가 발생하며 멤버 전용 디스코드에 대한 이용권과 자동화 매매, 백테스팅 시스템 등의 기능을 제공한다.마지막으로 프리미엄 등급은 대시 2 트레이드의 모든 기능을 이용할 수 있으며 여기에는 멤버 전용 분기별 대회도 포함된다. 대시 2 트레이드 토큰을 구매한 이용자는 프리미엄 등급을 이용할 수 있다. 대시 2 트레이드의 경우 현재 사전 판매 3단계가 진행되고 있으며 D2T 토큰 하나당 0.0533달러에 판매되고 있으며 600만달러 이상을 모금했다. 초기 투자자에 대한 보상의 차원에서 토큰 판매가는 사전판매 절차 단계가 진행됨에 따라 더 높은 가격으로 판매가 진행된다. 사전 판매 마지막 단계인 9 단계에서는 토큰 당 0.0662 달러에 판매될 예정으로 총 39%의 가격 상승이 발생하게 된다. 즉, 지금이 대시 2 트레이드 사전 판매에 참여하기 가장 좋은 적기로 최고의 암호화폐 토큰 투자기회라 볼 수 있다. 대시 2 트레이드 텔레그램을 구독하면 대시 2 트레이드에 대한 최신 소식을 받아 볼 수 있다. 대시 2 트레이드 알아보기그 다음으로 추천된 로보테라는 플레이어들이 다양한 방법으로 게임 내 보상을 얻을 수 있는 P2E(플레이투언), NFT, 메타버스 프로젝트로서 현재 구매 가능한 최고의 암호화폐 중 하나다. 로보테라의 네티이브 ERC-20 토큰인 TARO는 2022년 11월 사전판매 1단계가 개시되어 현재 0.02달러에 판매되고 있으며 추후 3단계 진입 시 60% 상승한 0.032달러에 판매될 계획이다. TARO 토큰은 사전 판매 절차가 완료된 이후 주요 암호화폐 거래소에 상장될 예정이다. 유망한 암호화폐 게임 토큰에 투자하고 싶은 트레이더라면 TARO 사전판매는 1달러도 안 되는 가격에 최고의 암호화폐를 획득할 수 있는 절호의 기회다.플레이투언 토큰이 암호화폐 겨울 동안 다른 알트코인에 비하여 좋은 성과를 보였다는 것 외에도 TARO는 다양한 사용사례가 있기 때문에 가치가 상승할 확률이 크다. 로보테라는 엘뱅크 랩스(LBank Labs)에서 개발한 프로젝트로, 플레이어들은 토큰을 이용하여 로봇 NFT 아바타를 구입할 수 있다. 아바타는 무너진 행성 타로를 재건하기 위하여 필요하다. 플레이어는 TARO 토큰을 이용하여 메타버스의 토지를 구입하고 건물과 인프라를 건설하여 가치를 높여 타로를 재건할 수 있다. 플레이어는 게임 안에서 광물을 채굴하고 반려 로봇을 개발하며 토지에 광고판을 설치하여 토지를 수익화할 수 있다. 로보테라의 스크립트 언어 및 개발 툴은 3D 환경, 물리학, 음향 등 다양한 환경을 개발할 수 있도록 설계되었다. 개발진은 게임 플레이어가 토지를 다양한 용도로 활용하면서 더 많은 사용 사례가 나올 것으로 예상하고 있다. 게임의 가장 큰 특징은 플레이어들이 토큰을 벌 수 있는 다양한 방법으로, 플레이어들은 독립적인 대륙을 운영하거나 NFT를 판매하여 토큰을 획득할 수 있으며 TARO 토큰을 스테이킹할 수도 있다. 로보테라는 플레이어들이 다른 세계와 연결할 수 있는 멀티버스 게임으로 콘서트나 이벤트 개최를 통하여 리워드를 획득할 수 있다. 로보테라 사전판매 절차는 토큰의 최대 공급량 18억개의 15%인 2억7000만 토큰이 판매되며 각 단계별로 9000만개의 토큰을 판매한다. 하드캡(최대 모금액)은 약 700만달러로 사전판매 종료 시 10%의 토큰이 유통되고 이후에도 매달 10%씩 공개될 예정이다. 투자자들은 로보테라 텔레그램 채널을 구독하거나 로보테라 백서를 통해 최신 게임 소식을 접할 수 있다. TARO 토큰 구매하기세 번째로 추천된 IMPT는 블록체인 기반 플랫폼으로 개인 및 기업이 쉽고 안전하게 탄소 발자국을 줄일 수 있도록 한다. IMPT 목적은 모두에게 환경을 보호할 수 있는 기회를 제공하는 것이다. 투자자들은 이미 프로젝트의 사전 판매에 적극적으로 참여하여 1단계 시작 후 3주 만에 1100만달러어치를 구입하였으며 이는 계획에 비하여 4주나 빠르게 달성된 수치다. 소비자들은 IMPT 소프트웨어를 이용하여 온라인으로 쇼핑하며 탄소 크레딧도 획득하거나 플랫폼에서 직접 구입할 수 있다. 2022년에 IEO가 진행 중인 최고의 암호화폐를 찾는 투자자에게 IMPT도 고려해볼 만하다. IMPT는 탄소 크레딧을 토큰화하여 NFT로 보유 가능하다. NFT는 분산 원장에 기록되기 때문에 이용자가 추적할 수 있어 투명성과 추적 가능성이 확보된다. 이는 현존하는 최고의 유틸리티 토큰이자 ESG 친화 지속가능한 암호화폐로 IMPT 플랫폼에 가입하면 몇 분 이내로 구입할 수 있다. 사용자가 탄소 크레딧을 소각하면 소각된 NFT는 소각 주소로 전송되어 NFT 유통이 중단된다. 거래는 블록체인에 기록되며 NFT는 더 이상 유효하지 않게 된다. IMPT는 모든 거래가 분산 레이어에 기록되기 때문에 조작이 불가능하여 사기 행위나 이중 집계를 예방할 수 있다. 또한 이용자들이 탄소 크레딧을 소각하면 아티스트가 제작한 유일무이한 NFT를 보상 받는다. IMPT는 탄소 배출을 저감하고 지구의 지속가능성을 높인다는 목표 아래 다양한 환경 프로젝트를 수행하여 사람들을 하나로 모은다. 마이크로소프트, 아마존, 게임스탑 등 다양한 소매업 기업도 매출의 일부를 친환경 계획을 위하여 이용하겠다고 약속하며 IMPT와 파트너십을 맺었다. IMPT에 대한 추가 정보는 1만2000명의 구독자를 보유한 텔레그렘 그룹이나 백서를 통하여 확인 가능하다. 게다가 다수의 투자자들은 변동성 높은 시장에서 IMPT를 저가에 매수하기 가장 좋은 암호화폐로 뽑히기도 했으며, 사전판매 또한 다음 단계로 넘어가기 전에 빠른 속도로 마감되고 있다. 지금 IMPT 토큰 구매하기네 번째로 추천된 칼바리아는 플레이투언 게임으로 두 가지 토큰을 제공한다. RIA 토큰은 네트워크의 경제적 안정성을 유지하는 데에 이용되며 eRIA 토큰은 게임 내 구매 활동 및 보상 수령에 이용된다. 칼바리아 게임 플레이어들은 eRIA 토큰을 이용하여 NFT 카드 덱을 구매할 수 있으며 카드를 이용하여 대회에서 우승하거나 게임에 참여하면 eRIA 토큰을 보상으로 획득한다.칼바리아 백서에 의하면 동일한 힘을 가진 카드 여러 장을 통합하여 높은 레벨 카드로 제작하기 위해서는 eRIA 토큰을 이용해야 하며 적을 처치하기 위해서는 계속해서 새로운 NFT 카드를 수집해야 한다. eRIA 토큰은 게임 내 구매 활동에도 이용된다. RIA 토큰은 주로 거버넌스 및 스테이킹 용도로 이용된다. 투자자들은 RIA 토큰을 보유함으로써 칼바리아 전체 생태계가 제대로 작동하도록 보장할 수 있고 플랫폼 미래에 대한 투표에 참여할 수 있다. 투자자의 투표 영향력은 보유하고 있는 토큰 수에 따라 결정된다. 칼바리아로 수익을 창출할 수 있는 또 하나의 방법은 스테이킹이다. 투자자들은 코인의 매매를 일정 기간 유예하여 그에 대한 댓가로 RIA 토큰을 일일 보상으로 받을 수 있다. eRIA 토큰과 RIA 토큰 모두 면세 적용을 받는다. RIA 토큰은 현재 빠른 속도로 판매되고 있다. 사전 판매 1단계에서는 토큰 하나당 0.01달러에 판매하였지만, RIA 토큰은 현재 사전 판매 4단계가 진행되고 있으며 토큰 하나당 0.025 달러에 판매되고 있다. RIA 암호화폐를 매수할 수 있는 가장 낮은 가격은 현재 진행되고 있는 사전 판매 가격이며, 사전 판매 마지막 단계가 되면 토큰 하나당 0.055 달러에 판매될 예정이다. 이는 사전 판매 1단계에 비하여 450% 상승한 가격이다. RIA 토큰 및 eRIA 토큰은 모두 암호화폐 거래소에서 거래 가능하며 거래 수수료가 0%이기 때문에 단타 매매자들에게 매우 유리하다. 칼바리아 텔레그램 채널을 구독하면 코인의 최신 개발사항에 대한 가장 빠른 소식을 받아볼 수 있다. 지금 RIA 토큰 구매하기다섯 번째로는 대표적인 암호화폐 '비트코인(Bitcoin)'이 저가에 매수할 절호의 기회라 소개됐다.2009년 비트코인이 처음 출시되었을 당시에는 1달러도 안 되는 가격에 비트코인 하나를 구매할 수 있었다. 불과 12년만에 비트코인은 전례없는 수백만 배의 수익률을 기록한 것이다. 현재 비트코인은 하락장을 겪고 있으며 이와 함께 암호화폐 시장 전반이 침체기를 경험하고 있다. 하지만 이러한 시장 상황은 새롭게 비트코인을 매수하고자 하는 투자자들에게 저가에 매수할 수 있는 기회가 되기도 한다. 현시점 기준으로 비트코인은 2017년말 당시 최고가였던 2만 달러 아래 1만6000달러 부근에서 거래되고 있다. 따라서 이는 전고점 6만8000달러에 비하면 약 70% 넘게 할인된 가격에 구매할 기회인 것이다. 일부 암호화폐 애널리스트는 비트코인의 가격이 2025년까지 다시 6만5000달러에 도달할 수 있다는 전망도 내놓고 있다. 만약 비트코인이 2025년에 전고점에 도달한다면, 지금 얼마를 투자해야 수익을 극대화할 수 있을까?최근에는 비트코인에 대한 이자서비스를 제공하는 플랫폼도 여럿 등장하였다. 투자자들은 비트코인에 대한 이자서비스를 이용하여 약세장을 견디며 추가적인 패시브 인컴도 창출할 수 있다. 이에 대하여 일부 투자자들은 이미 비트코인에 투자하기에는 너무 늦은 시기가 아니냐는 우려를 표하기도 한다. 비트코인 상승 여력을 고려하면 어느 쪽이 맞는지에 대해서도 더욱 합리적으로 판단할 수 있다. 일부 비트코인 지지자들은 단연코 최고의 암호화폐인 비트코인 가치에 상한선은 없으며 중장기적으로 토큰당 10만 달러까지 도달할 것으로 예측한다. 여섯 번째로 추천된 이더리움도 2022년 가장 투자하기 좋은 암호화폐이자 가장 지속가능한 암호화폐 중 하나로 꼽힌다. 이더리움은 시가총액 기준으로 전세계에서 두 번째로 큰 암호화폐 프로젝트이며 스마트 계약 블록체인 분야를 선도하고 있다. 이더리움은 현재 두번째 버전 출시를 앞두고 있으며 일부 애널리스트는 이더리움을 2022년 가장 친환경적 암호화폐로 뽑기도 한다. 이더리움 기반으로 개발된 ERC-20 토큰만 해도 수천종에 이르기에 가치의 정통성이 입증됐다고 할 수 있다. 게다가 가장 중요한 특징 중 하나는 모든 ERC-20 토큰을 보내거나 받을 때 이더리움으로 거래 수수료를 지불해야 한다는 점이다. 즉, 이더리움은 실세계 실용성이 존재하며 고로 광역시장에서의 수요가 강하다고 해석할 수 있다. 이더리움은 또한 메타버스 프로젝트에 이용되는 대표적인 블록체인이다. 엔진, 디센트럴랜드, 샌드박스 등 시장을 선도하는 메타버스 세계 모두 이더리움을 기반으로 운영되고 있다. 이더리움의 가장 중요한 투자 포인트는 바로 지분증명(PoS)로의 전환이 현재 완성 단계로 접어들고 있다는 점이다. 업그레이드 후에는 송금 속도가 향상되고, 수수료가 저감되며, 프레임워크의 확장성도 향상될 예정이다. 따라서 이더리움이 업그레이드되기 직전인 지금이 이더리움을 매수할 수 있는 매력적인 투자 기회라 볼 수 있다. 가령, 2021년 암호화폐 상승장에서 이더리움은 최로 4,900달러까지 치솟았다. 현재 이더리움은 전고점 대비 약75% 할인된 가격에 거래되고 있다. 만약 전고점까지 다시 도달한다면 약 300%의 수익을 볼 수 있을 것이다. 마지막으로 추천된 BNB는 글로벌 최대 암호화폐 거래소 '바이낸스'의 네이티브 토큰이다.비앤비의 현재 가격을 고려하면 비앤비 또한 2022년에 투자할 수 있는 최고의 암호화폐 중 하나다. 비앤비는 거래량 기준으로 전세계 최대 규모의 P2P 암호화폐 거래소인 바이낸스(Binance) 생태계의 네이티브 토큰이다. 2017년 출시된 비앤비의 초기 용도는 거래소 이용자들에게 거래 수수료를 할인된 가격에 제공하는 것이었다. 바이낸스는 이후 수많은 제품 및 서비스를 출시하였으며 이는 비앤비의 사용 사례를 더욱 확장하였다. 가령, 기존 레거시 블록체인 네트워크 대항마로 야심차게 준비한 바이낸스 스마트 체인의 경우 등록된 프로젝트를 비앤비와 페어링할 것을 요구한다. 또한 바이낸스 스마트 체인에서의 거래 수수료도 비앤비로 지불해야 한다. 결과적으로 이더리움 블록체인의 ETH와 마찬가지로 비앤비도 실세계 실용성을 확보할 수 있어 지속적인 수요를 유지할 수 있다. 비앤비는 역대 최고가인 669 달러에 비하여 현재 57% 할인된 가격에 거래되고 있다. 여기까지 2022년에 투자하기 좋은 암호화폐 7가지에 대해 살펴보았다. 가령 비트코인, 이더리움과 같은 메이저 코인도 소개하면서 새로 출시된 친환경 암호화폐에 대해서도 알아보았다. 다양한 프로젝트가 선정된 만큼 투자자들은 다각화된 포트폴리오를 구축할 수 있다. 그중에서도 대시 2 트레이드는 암호화폐 투자자와 트레이더 모두의 요구를 만족시킬 강력한 암호화폐 분석 플랫폼을 개발하여 출시한다. 대시 2 트레이드는 현재 사전 판매 절차가 진행 중이어서 최저가로 구매 가능하다. 대시 2 트레이드 사전 판매 바로가기",2
유투데이에 따르면 이더리움 공동 설립자이자 카르다노(에이다) 설립자 찰스 호스킨슨이 미국 SEC(증권거래위원회)가 이더리움을 비트코인과 같이 증권으로 취급하지 않는다고 해서 이것이 리플 소송에 중대한 영향을 미치지는 않는다고 밝혔다. 이더리움 공동 설립자 조셉 루빈이 리플을 공격하기 위해 SEC에 뇌물을 줬다는 일각의 주장도 부인했다. 찰스는 SEC가 문제를 조사하기 시작했을 때 이미 이더리움에 대규모 디앱 생태계가 구축됐고 다수 억만장자와 VC가 포진해있었기 때문에 이더리움이 규제 프리패스를 얻었다고 설명했다. 또 처음에 이더리움이 비트코인처럼 작업증명 알고리즘으로 시작한 것도 주효했다고 덧붙였다. 찰스는 리플이 자체 디앱 생태계를 만들었다면 SEC가 공격하지 않았을 것이라고 말했다.,0
"룩온체인이 게이트아이오가 제공한 콜드월렛 잔액을 반영해 이더리움 자산을 업데이트한다고 밝혔다. 게이트아이오의 5개 월렛은 총 $8.263억을 보유 중이다. 1.01억GT($3.695억), 194,790ETH($2.464억), 36.8억SHIB($3360만), 3200만USDT 등이다. 앞서 룩온체인은 게이트아이오 자산이 $4.79억에 불과하다며 제2의 FTX가 될 수도 있다고 전한 바 있다.",1
"게이트아이오가 2018년 4월 2.3억달러를 해킹당했으나 이를 은폐한 적 있으며, 자산이 $4.79억에 불과하다는 온체인 탐정 ZachXBT의 주장에 게이트아이오가 중국 매체 진써차이징에 ""당시 여러 유명 플랫폼이 해킹됐지만, 게이트아이오 이용자는 이 공격으로 어떠한 손실도 입지 않았다. 게이트아이오는 2020년부터 100% 준비금 감사를 실시해 왔으며 올해 두 번째로 이용자 자산에 대한 감사를 실시했다. 온라인에 게재된 자산 목록은 게이트아이오의 일부 핫월렛 내 자산에 불과하며, 단일 주소(0xC882b111A75C0c657fC507C04FbFcD2cC984F071)에만 14만 ETH와 2억달러 상당 토큰을 보유 중""이라고 말했다. 앞서 ZachXBT는 ""게이트아이오의 이더리움 지갑 4개를 분석한 결과 자산이 $4.79억에 불과하다는 사실을 발견했다""며 ""ETH, USDT의 경우 각각 53930개, 3200만개만 보유하고 있다""고 주장한 바 있다.",0
