news,label
"코인데스크에 따르면 우크라이나 군대 지원을 위한 DAO(탈중앙자율조직) 우크라이나DAO(UkraineDAO)에 현재까지 300만달러 이상 이더리움 기반 토큰이 모였다. 우크라이나DAO는 러시아 페미니스트 펑크밴드 푸시라이엇의 초창기 멤버이자 러시아 반체제 성향 정치 비평가 나데즈다 톨로콘니코바(Nadezhda Tolokonnikova)가 트리피랩스(Trippy Labs), 플레저다오(PleasrDAO)와 함께 우크라이나 민간 단체에 기부할 기금을 모금하기 위해 조성됐다. 우크라이나DAO에 모금된 자금은 공식 우크라 군자금(ukrainedao.eth)에 쓰일 예정이다. ",1
"비탈릭 부테린 이더리움 설립자가 ""지금 당신이 러시아인이 부끄럽다면 걱정 말라. 당신은 러시아인이 아니다""라는 트윗에 ""엿먹어라""라는 답글을 달았다. 앞서 코인니스는 비탈릭이 ""푸틴은 우크라이나와의 분쟁에 대한 평화적 해결을 포기하고 전쟁에 나서기로 결정했다. 매우 화가 난다. 이는 우크라이나인과 러시아인에 대한 범죄다. 모두의 안전을 기원한다""며 ""이더리움은 중립적이지만 나는 그렇지 않다""고 말했다고 전한 바 있다.",0
"전날 러시아와 우크라이나의 대화 가능성이 열리면서 저가매수세가 유입되며 비트코인(Bitcoin, BTC) 가격이 4만 달러선을 회복했었고, 현재는 38,000달러선에서 거래되고 있다. 2월 27일(한국시간) 오전 10시 40분 기준 현재 코인마켓캡 기준으로 글로벌 비트코인(BTC, 시총 1위) 가격은 24시간 전 대비 3.14% 하락한 38,486달러를 기록 중이다. 시가총액은 7,302억 달러이며, 도미넌스(시총 비중)는 41.8%이다.같은 시간 이더리움 가격은 24시간 전 대비 3.96% 하락한 2,705달러를 기록 중이다. 시가총액은 3,257억 달러이며, 도미넌스(시총 비중)는 18.7%이며, 리플은 24시간 전 대비 6.14% 하락한 0.72달러에 거래되고 있다.비트코인 가격 전망과 관련해, 암호화폐 전문 미디어 데일리호들에 따르면, 마신스키는 킷코 뉴스(Kitco News)와의 인터뷰에서 ""러시아와 우크라이나의 충돌이 비트코인의 바닥이라고 생각한다""며 ""비트코인은 3만 달러 수준에서 매우 강력한 지원을 받고 있다. 현재 수준을 유지하고 더 높이 올라갈 것이다""고 전망했다.이어 그는 러시아의 우크라이나 침공에 따라 시장에서 과도한 레버리지가 해소된 후 비트코인이 더 높은 추세를 보일 것이라고 덧붙였다.마신스키는 또한 ""비트코인이 공급에 제한이 있다는 희소성의 속성(2,100만 비트코인을 초과할 수 없다)과 수요가 갈수록 더 증가하고 있다는 사실을 감안할 때 비트코인 가격은 장기간에 걸쳐 상승할 것이다""고 강조했다.또, 암호화폐 전문 미디어 이더리움월드뉴스(ethereumworldnews)에 따르면 마이크로스트레티지(MicroStrategy)의 마이클 세일러(Michael Saylor) 최고경영자(CEO)가 ""전쟁은 인플레이션을 발생시키고, 경제 활동을 마비시킨다""며 ""이는 인플레이션의 대안으로 비트코인을 더욱 설득력있게 만든다""고 밝혔다.한편 블룸버그통신은 전세계 암호화폐 거래소들이 러시아의 우크라이나 침공 이후 서방의 대러 제재에 대처하는 방안을 모색하고 있다고 전했다.미국 대표 거래소 코인베이스와 제미니는 러시아와 우크라이나에 서비스를 제공하지 않고 있다고 매체에 말했다. 제미니 측은 ""제재 대상 식별을 위해 고객 계정에 대한 면밀한 조사를 수행하고 필요 시 적절한 조치를 취할 것""이라고 말했다.FTX US의 브렛 해리슨 대표는 ""(문제가 되는) 계정에서 오는 거래를 차단하고 보류하는 것은 거래소의 책임""이라며 ""의심스러운 계정 추적을 위해 여러 국가와 긴밀히 소통하고 있다""고 말했다. 바이낸스의 경우, 러시아에서 740여종 암호화폐 거래를 제공하고 있으며 최근 러시아 정부와 소통을 위해 러시아 은행 전 임원을 영입한 바 있다. 바이낸스 러시아 법인의 변호인 마리아 아그라노프스카야는 아직까지 암호화폐 관련 구체적 제재가 나오지 않고 있다며 상황을 지켜보겠다는 입장을 밝혔다.블룸버그는 일부 암호화폐 거래소가 제재가 어려운 관할권에 소재해 있거나 고객확인(KYC)이 불가해 규제하기 어렵다고 지적했다. 앞서 미국은 러시아 주요 은행의 대외 거래 차단, 수출 통제 등 제재를 발표했다. 유럽연합(EU)도 블라디미르 푸틴 대통령의 유럽 내 자산을 동결했으며 더 강력한 제재도 준비 중이다.",-1
"전날 러시아와 우크라이나의 대화 가능성이 열리면서 저가매수세가 유입되며 비트코인(Bitcoin, BTC) 가격이 4만 달러선을 회복했다. 하지만 러시아와 우크라이나 정전 협상이 결렬되고, 미국·유럽이 러시아를 국제은행간통신협회(SWIFT·스위프트)에서 퇴출해 국제금융결제망 차단에 나서면서 비트코인 가격도 다시 4만 달러 아래로 떨어졌고 투자 심리 위축도 지속되는 모습이다.실제 암호화폐 데이터 제공 업체 알터너티브(Alternative)의 자체 추산 '크립토 공포·탐욕 지수'에 따르면 해당 지수는 전날과 같은 26을 기록하며, '공포(Fear)' 단계가 지속됐다.해당 지수는 0에 가까울수록 시장의 극단적 공포를 나타내며, 100에 가까울수록 극단적 낙관을 의미한다. 공포 탐욕 지수는 변동성(25%), 거래량(25%), SNS 언급량(15%), 설문조사(15%), 비트코인 시총 비중(10%), 구글 검색량(10%) 등을 기준으로 산출된다.한편 27일(한국시간) 오전 9시 20분 현재 코인마켓캡 기준 비트코인(BTC, 시총 1위) 가격은 24시간 전 대비 0.05% 상승한 약 39,192달러를 기록 중이다. 비트코인은 지난 24시간 동안 최저 38,702.53달러에서 최고 40,005.35달러 사이에서 거래됐다. 현재 비트코인의 시가총액은 약 7,434억 달러이고, 도미넌스(시총 비중)은 41.7% 수준이다.이날 암호화폐 전문 미디어 이더리움월드뉴스(ethereumworldnews)에 따르면, 마이크로스트레티지(MicroStrategy)의 마이클 세일러(Michael Saylor) 최고경영자(CEO)가 ""전쟁은 인플레이션을 발생시키고, 경제 활동을 마비시킨다""며 ""이는 인플레이션의 대안으로 비트코인을 더욱 설득력있게 만든다""고 밝혔다.",-1
"암호화폐 전문 미디어 이더리움월드뉴스(ethereumworldnews)에 따르면, 마이크로스트레티지(MicroStrategy)의 마이클 세일러(Michael Saylor) 최고경영자(CEO)가 ""전쟁은 인플레이션을 발생시키고, 경제 활동을 마비시킨다""며 ""이는 인플레이션의 대안으로 비트코인을 더욱 설득력있게 만든다""고 밝혔다.",0
"디파이 플랫폼 1인치 네트워크(1INCH)의 공동 창업자인 안톤 부코프(Anton Bukov)가 코인텔레그래프와의 인터뷰에서 블록체인 개발자에게 비트코인은 큰 의미 없다고 말했다. 그는 ""비트코인은 스마트 컨트렉트 개발에 적합하지 않다""며 ""비트코인 기술이 암호화폐 산업의 발명품이었기 때문에 당연히 존중하는 바다. 다만, 블록체인 개발자에게는 큰 의미 없다""고 전했다. 이어 ""확장성 문제만 해결되면 이더리움이 비트코인을 앞지르게 될 것""이라고 덧붙였다.※코툰(코인 웹툰)은 코인리더스의 암호화폐 만평이다. 만평 화가는 김진호이다. 김 화백은 20여년 간 인천일보 충청일보 영남일보 경남매일 등에서 시사만평을 그려 왔으며 시사만평을 2000년 초기부터 완전 디지털 방식으로 작업해 파일화 해온 경력이 눈에 띈다. 현재는 파이낸셜투데이 등 다수 인터넷 매체에 만평을 공급하고 있으며 mbn, 채널A에 삽화작가로 활동 중이다.",0
"웨일스탯에 따르면 상위 1000개 이더리움 고래 지갑이 지난 24시간 동안 가장 많이 구매한 토큰은 다음과 같다. 스테이블코인은 제외. 1. FRAX $25,205 2. MIM $16,533 3. ETH $7,095 4. SHIB $1,769 5. BAT $1,385 6. MANA $1,094웨일스탯은 거래소 및 프로젝트 지갑을 제외한 상위 1000개 이더리움 지갑을 추적하고 있다.",0
"우블록체인(wu blockchain)이 트위터를 통해 ""난센에 따르면, RELI3F NFT 민팅이 순간적으로 이더리움 가스비를 1300 gwei까지 상승시켰다""며 ""해당 첫번째 컬렉션 우크라이나 사람들을 후원하기 위한 것""이라고 밝혔다. RELI3F 공식 트위터는 ""30초만에 370 ETH, 약 100만 달러가 모금됐다""고 공지했다.",1
"디크립트에 따르면 마블 창시자인 아비 아라드가 설립한 영화제작사 아라드 프로덕션이 이더리움 NFT 기반 만화 시리즈 '헉슬리'를 영화화하겠다고 밝혔다. 이를 위해 웹3 프로덕션 스튜디오 Feature, 특수효과 감독 제롬 첸과 협력 중이다. 유명 아티스트 벤 마우로(Ben Mauro)가 그린 헉슬리는 이더리움 NFT로 판매되는 SF물 만화다. 영화 개봉일은 발표되지 않았다.",1
"외신에 따르면 지난 일주일간 NFT 매출이 5.46억달러로 전주 대비 7.71% 감소했다. 해당 기간 거래자 수는 30.7만명, 거래 건수는 약 154만건이었다. 이더리움 기반 NFT 매출이 4.74억달러로 가장 많았다. 이번주 가장 많이 판매된 NFT 시리즈는 3landers로 약 4082만달러 매출을 기록했다. 그 다음 인비저블 프렌즈(3200만달러), mfer(2370만달러), BAYC(2369만달러) 순이었다.",-1
